,Pre-selection,bbFatJetPt_JER_down >= 300,VVFatJetPt_JER_down >= 300,bbFatJetParticleNetMD_Txbb >= 0.9714,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,1.6759612895422047,1.671253156343986,1.667054663581594,1.1245449001183174,1.1226742345881118,1.1162638722997158
ggHH_kl_2p45_kt_1_HHbbVV,1.2648588173264859,1.2619213962134905,1.259476514431856,0.8319740970158711,0.8306518833539189,0.8259522386742423
ggHH_kl_5_kt_1_HHbbVV,1.3332206987541166,1.3300489277361773,1.3270343186009006,0.7349966410680373,0.7337522578090182,0.729659714056454
ggHH_kl_0_kt_1_HHbbVV,2.1451073030732752,2.1390768166419116,2.133136138305944,1.4292286885218324,1.4267663922524423,1.417743023593126
VBFHHbbVV,0.034040204061650904,0.03394053173651452,0.03385030303208773,0.022368649775485992,0.022290095896210282,0.022116235074172715
qqHH_CV_1_C2V_0_kl_1_HHbbVV,20.759082011938688,20.739352616008404,20.724376023579612,15.229353439041734,15.201481236611778,15.129429879529859
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,34.7875735683353,34.751680542343635,34.7259112385066,25.482762793547717,25.436519236083498,25.314347006893332
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.0349561589792886,0.0348340123755803,0.03476342971248835,0.018136306658392422,0.01809343460609939,0.017991141463169644
qqHH_CV_1_C2V_2_kl_1_HHbbVV,18.90294126701765,18.88651379148402,18.874724613646766,13.907483855374345,13.882270889997601,13.817838788362558
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.08896585213302885,0.0887174649087295,0.08843522093011229,0.06114827397089242,0.06101145012473047,0.060648492179944447
qqHH_CV_0p5_C2V_1_kl_1_HHbbVV,11.226364369967204,11.216740371140801,11.208863928418946,8.251633680142493,8.236586869469148,8.196674361111036
