,Pre-selection,bbFatJetPt_JER_down >= 300,VVFatJetPt_JER_down >= 300,BDTScore_JER_down >= 0.995,bbFatJetParticleNetMD_Txbb >= 0.9714,BDTScoreVBF < 0.999 or bbFatJetParticleNetMD_Txbb < 0.987,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,1.6759612895422047,1.671253156343986,1.667054663581594,0.17021939857031315,0.1190584991984951,0.10539112358512508,0.10525093182565501,0.10470144084571009
ggHH_kl_2p45_kt_1_HHbbVV,1.2648588173264859,1.2619213962134905,1.259476514431856,0.12563157989250515,0.08721190914609582,0.07665749007432142,0.07655908675775952,0.07623787234512445
ggHH_kl_5_kt_1_HHbbVV,1.3332206987541166,1.3300489277361773,1.3270343186009006,0.09211467816851326,0.0629819866443294,0.055442088987440276,0.05533991339290646,0.05521681451867596
ggHH_kl_0_kt_1_HHbbVV,2.1451073030732752,2.1390768166419116,2.133136138305944,0.21001210370476897,0.1442364147477404,0.12777091986332528,0.1275410059591364,0.12656876245541043
VBFHHbbVV,0.034040204061650904,0.03394053173651452,0.03385030303208773,0.0025473920291997267,0.0019256303418322069,0.0011227862961964198,0.001116976937338149,0.0011055071990272217
qqHH_CV_1_C2V_0_kl_1_HHbbVV,20.759082011938688,20.739352616008404,20.724376023579612,2.667451420631155,2.0153734301224184,0.8429832558411162,0.8411351045521869,0.8372397610578501
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,34.7875735683353,34.751680542343635,34.7259112385066,4.486074303334388,3.4023025014164245,1.446503300000037,1.4433919691935477,1.4353302464376243
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.0349561589792886,0.0348340123755803,0.03476342971248835,0.0015431925188432172,0.001052674777014465,0.0006711539249521037,0.0006710125296642566,0.0006647728507554829
qqHH_CV_1_C2V_2_kl_1_HHbbVV,18.90294126701765,18.88651379148402,18.874724613646766,2.471734301023635,1.872780005417429,0.7729390828495457,0.7712896015139854,0.7676417724290585
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.08896585213302885,0.0887174649087295,0.08843522093011229,0.009633194603172895,0.00698900807330701,0.0038912506835137306,0.0038758933076018945,0.0038507346132979625
qqHH_CV_0p5_C2V_1_kl_1_HHbbVV,11.226364369967204,11.216740371140801,11.208863928418946,1.4634728311200482,1.1071466649532338,0.4616793672780855,0.4607968673285421,0.4587870345140179
