,Pre-selection,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore_JMS_down >= 0.995,bbFatJetParticleNetMD_Txbb >= 0.9714,BDTScoreVBF < 0.999 or bbFatJetParticleNetMD_Txbb < 0.987,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,1.6759612895422047,1.6710440867840302,1.6669042407462995,0.1700528164395184,0.11898771195712607,0.10536800528828297,0.10524012540814476,0.10470903584072351
ggHH_kl_2p45_kt_1_HHbbVV,1.2648588173264859,1.261824665802835,1.2596759191113927,0.12533992464909183,0.08703984184906065,0.07643194161086611,0.07633218683921796,0.07601074460267285
ggHH_kl_5_kt_1_HHbbVV,1.3332206987541166,1.3296435101641653,1.327003185268209,0.09175788543492885,0.06281973238985192,0.05522593143666273,0.055172673916298265,0.055049575042067776
ggHH_kl_0_kt_1_HHbbVV,2.1451073030732752,2.1386686297940076,2.1336404933361868,0.20882299496778595,0.14316295899614354,0.12659072125359788,0.12635112560276018,0.12537888209903422
VBFHHbbVV,0.034040204061650904,0.03394017428372224,0.033865410799616094,0.00254005262651524,0.001910390971568394,0.0011205078480491933,0.0011146984891909225,0.0011036038250963416
qqHH_CV_1_C2V_0_kl_1_HHbbVV,20.759082011938688,20.738024841146384,20.72397824978978,2.6613303661481518,2.0096762599876907,0.8403430657989917,0.8384949145100623,0.8346104379141792
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,34.7875735683353,34.749979070314005,34.725639302628466,4.4609738351211154,3.3804792545863385,1.4363664884359197,1.4332551576294303,1.4254168884705707
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.0349561589792886,0.03484718891755414,0.03479088904760456,0.0015480739662957796,0.001056548109804912,0.0006765543444384894,0.0006764129491506423,0.0006678827427746794
qqHH_CV_1_C2V_2_kl_1_HHbbVV,18.90294126701765,18.884521982052938,18.873229234391513,2.4600141419562025,1.8630179787361192,0.7697249790231753,0.7681524024789954,0.7644950392998988
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.08896585213302885,0.08869816364046831,0.08844079000849456,0.009646953066588632,0.006976634160375224,0.003848077130832451,0.003832719754920615,0.0038075610606166832
qqHH_CV_0p5_C2V_1_kl_1_HHbbVV,11.226364369967204,11.215096339103239,11.207686939618187,1.459449679464384,1.1045060578007515,0.46111504835592976,0.4601913184207448,0.45811933890381884
