,Pre-selection,bbFatJetPt >= 300,VVFatJetPt >= 300,bbFatJetParticleNetMD_Txbb >= 0.9714,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,1.6759612895422047,1.6710440867840302,1.6669042407462995,1.1244217410337694,1.1225500156015884,1.1161369033985609
ggHH_kl_2p45_kt_1_HHbbVV,1.2648588173264859,1.261824665802835,1.2596759191113927,0.8321311829495788,0.8308136069314502,0.8261170096521655
ggHH_kl_5_kt_1_HHbbVV,1.3332206987541166,1.3296435101641653,1.327003185268209,0.7350739163735542,0.7338295331145349,0.7297418252297029
ggHH_kl_0_kt_1_HHbbVV,2.1451073030732752,2.1386686297940076,2.1336404933361868,1.42928562748085,1.426811155011094,1.417774050613862
VBFHHbbVV,0.034040204061650904,0.03394017428372224,0.033865410799616094,0.022373347696406174,0.02229479381713046,0.022120932995092893
qqHH_CV_1_C2V_0_kl_1_HHbbVV,20.759082011938688,20.738024841146384,20.72397824978978,15.22840040478881,15.200569152517833,15.128455141335797
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,34.7875735683353,34.749979070314005,34.725639302628466,25.482045038361303,25.43580373335567,25.31347894664467
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.0349561589792886,0.03484718891755414,0.03479088904760456,0.018145561181591364,0.018102689129298338,0.017999739993770622
qqHH_CV_1_C2V_2_kl_1_HHbbVV,18.90294126701765,18.884521982052938,18.873229234391513,13.906493372699776,13.881282693736958,13.816854248876878
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.08896585213302885,0.08869816364046831,0.08844079000849456,0.06115144218954906,0.06101461834338712,0.06065166039860109
qqHH_CV_0p5_C2V_1_kl_1_HHbbVV,11.226364369967204,11.215096339103239,11.207686939618187,8.25054323029851,8.23550478703745,8.19559532167117
