,Pre-selection,bbFatJetPt_JES_up >= 300,VVFatJetPt_JES_up >= 300,bbFatJetParticleNetMD_Txbb >= 0.9714,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,1.6759612895422047,1.6755863889026215,1.6753489384450617,1.1297395537309685,1.1278484588959403,1.1213656726342756
ggHH_kl_2p45_kt_1_HHbbVV,1.2648588173264859,1.2646281844240221,1.264526949675925,0.8350415497421637,0.8337142045861475,0.8289889500121482
ggHH_kl_5_kt_1_HHbbVV,1.3332206987541166,1.3330370290340967,1.3328501897674974,0.7380031866304577,0.736755570345574,0.7326590772875728
ggHH_kl_0_kt_1_HHbbVV,2.1451073030732752,2.1446404192761883,2.144279422242817,1.436190858953612,1.4337137962349096,1.4245525791854852
VBFHHbbVV,0.034040204061650904,0.03403461271287648,0.03402990443058806,0.022469638098464865,0.0223891847084242,0.022215323886386633
qqHH_CV_1_C2V_0_kl_1_HHbbVV,20.759082011938688,20.7571914764134,20.756364340191308,15.25015131366104,15.222180799538123,15.14977226575792
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,34.7875735683353,34.78397802876074,34.782880615922885,25.521135030269257,25.47488870985733,25.352272731617752
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.0349561589792886,0.034954357028150244,0.03494645042749721,0.01821363238790155,0.018170760335608528,0.018067748259872864
qqHH_CV_1_C2V_2_kl_1_HHbbVV,18.90294126701765,18.90099638276629,18.900221489541146,13.924331119330953,13.899042834124108,13.83447112820249
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.08896585213302885,0.08895254318039318,0.08892652783340338,0.0614316588060196,0.06129483495985765,0.06093156026173982
qqHH_CV_0p5_C2V_1_kl_1_HHbbVV,11.226364369967204,11.22489685307161,11.22449739264124,8.26170521533612,8.246659927029292,8.206639881730155
