,Pre-selection,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore_JMR_up >= 0.995,bbFatJetParticleNetMD_Txbb >= 0.9714,BDTScoreVBF < 0.999 or bbFatJetParticleNetMD_Txbb < 0.987,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,1.6759612895422047,1.6710440867840302,1.6669042407462995,0.15651081598629152,0.10949107299332234,0.09636832193583353,0.09624875934221545,0.09572553222194748
ggHH_kl_2p45_kt_1_HHbbVV,1.2648588173264859,1.261824665802835,1.2596759191113927,0.11617631329295001,0.08062593312197544,0.07037919925396328,0.07027661087575623,0.06996466236804398
ggHH_kl_5_kt_1_HHbbVV,1.3332206987541166,1.3296435101641653,1.327003185268209,0.08295985564865474,0.05684553759496526,0.04954199568751155,0.04948873816714709,0.04941079129188407
ggHH_kl_0_kt_1_HHbbVV,2.1451073030732752,2.1386686297940076,2.1336404933361868,0.19577373925243793,0.13488856200887517,0.11883102592958124,0.11859475572762473,0.11760502253825347
VBFHHbbVV,0.034040204061650904,0.03394017428372224,0.033865410799616094,0.0023695569520503423,0.0017879079591452572,0.0010288213567049966,0.0010230119978467257,0.0010115422595357985
qqHH_CV_1_C2V_0_kl_1_HHbbVV,20.759082011938688,20.738024841146384,20.72397824978978,2.43936434202472,1.847385410596914,0.7674560063075818,0.765653076758202,0.7621610355310354
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,34.7875735683353,34.749979070314005,34.725639302628466,4.100356159382979,3.1031494550092202,1.3049741589584576,1.302128467770395,1.2952710595592642
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.0349561589792886,0.03484718891755414,0.03479088904760456,0.0014405051096946498,0.0009780858985473217,0.0006184413506442923,0.0006182999553564453,0.0006097697489804823
qqHH_CV_1_C2V_2_kl_1_HHbbVV,18.90294126701765,18.884521982052938,18.873229234391513,2.261426831881256,1.712464158257488,0.7006178220539787,0.6991121257689287,0.6959123254230618
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.08896585213302885,0.08869816364046831,0.08844079000849456,0.008984892460752698,0.006502932614649341,0.0035141642857480513,0.003498806909836215,0.003473648215532284
qqHH_CV_0p5_C2V_1_kl_1_HHbbVV,11.226364369967204,11.215096339103239,11.207686939618187,1.339309279348141,1.0139880107015513,0.4188581146725762,0.4180068639684593,0.4161566703779172
