,Pre-selection,bbFatJetPt_JER_up >= 300,VVFatJetPt_JER_up >= 300,bbFatJetParticleNetMD_Txbb >= 0.9737,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,1.1076155738532725,1.0995220861160289,1.0930558866287805,0.7246084967271477,0.7233608817380786,0.7203150939128533
ggHH_kl_2p45_kt_1_HHbbVV,0.8017057185656303,0.7966101692192086,0.7929571032625816,0.5166821941548777,0.5158839393950463,0.513779345798183
ggHH_kl_5_kt_1_HHbbVV,0.8401003117427284,0.835320131112392,0.8319351772120007,0.45760878265158067,0.4571605166566779,0.45544126262355344
ggHH_kl_0_kt_1_HHbbVV,1.4345369296604162,1.4235916341369612,1.4139670655489147,0.9275153481737265,0.9260751883249169,0.9221047938738665
VBFHHbbVV,0.02156889733130559,0.0214373138318871,0.021323802428487942,0.013631879831506922,0.01358396930942886,0.013519111548696089
qqHH_CV_1_C2V_0_kl_1_HHbbVV,11.012094469050279,10.987926009306303,10.96917223628575,7.970517742826894,7.954014584320458,7.922678808896065
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,18.524442692856272,18.477402701983422,18.444632269694132,13.347692339887299,13.32024796027121,13.270670389532832
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.0215265594427219,0.021410567209143024,0.021309173027726083,0.010904340783206193,0.010862184685981446,0.01080916117197529
qqHH_CV_1_C2V_2_kl_1_HHbbVV,9.95087037154981,9.930678314801408,9.916616046952432,7.21155226508811,7.196370076674798,7.169342327551459
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.056261892429548606,0.05588785768854722,0.05553877858810098,0.03752469595887638,0.037435586369654925,0.037202784907713164
qqHH_CV_0p5_C2V_1_kl_1_HHbbVV,5.947068781212984,5.936031558422501,5.932685715008162,4.3534720199918135,4.350311032804982,4.339933155366687
