,Pre-selection,bbFatJetPt >= 300,VVFatJetPt >= 300,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9737,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,1.1076155738532725,1.1000482538439582,1.0935678320187143,0.36852774378303305,0.3678960479480927,0.36601480121929525
ggHH_kl_2p45_kt_1_HHbbVV,0.8017057185656303,0.7967505688556613,0.7930445292495321,0.27628716587192953,0.27588210392502,0.2744407355044442
ggHH_kl_5_kt_1_HHbbVV,0.8401003117427284,0.8354527927589055,0.8320594978450349,0.3745461655820734,0.3739455097908021,0.3717235410809352
ggHH_kl_0_kt_1_HHbbVV,1.4345369296604162,1.4234080613658215,1.4138367950410329,0.48622266914397844,0.48511561190265096,0.4828696813702937
VBFHHbbVV,0.02156889733130559,0.021435265389209243,0.021312659614637335,0.007679674904330284,0.007654610340664872,0.007611190407914824
qqHH_CV_1_C2V_0_kl_1_HHbbVV,11.012094469050279,10.989155748948237,10.970294008297934,2.999029159831356,2.9917283501584415,2.9763890320865287
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,18.524442692856272,18.478374558355636,18.444988776552194,5.097424530294385,5.084480847516964,5.0595580533454205
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.0215265594427219,0.021411881720740194,0.021308163109968407,0.010402594609835135,0.01034745989675354,0.010282612953636272
qqHH_CV_1_C2V_2_kl_1_HHbbVV,9.95087037154981,9.931229118293526,9.917143037920416,2.705159033242656,2.6992798296256035,2.685536092017056
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.056261892429548606,0.055925886375988984,0.05559233025468232,0.01803165043786024,0.017974851656876602,0.017883977839359355
qqHH_CV_0p5_C2V_1_kl_1_HHbbVV,5.947068781212984,5.935073120521078,5.93172727710674,1.5782552571149255,1.5695921378250806,1.5605321361084241
