,Pre-selection,bbFatJetPt_JES_down >= 300,VVFatJetPt_JES_down >= 300,BDTScoreVBF >= 0.999,bbFatJetParticleNetMD_Txbb >= 0.9883,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,1.1076155738532725,1.091146309401864,1.0775751363940185,0.011374897286753567,0.005632107568733673,0.005632107568733673,0.005621478562684209
ggHH_kl_2p45_kt_1_HHbbVV,0.8017057185656303,0.7911490082326493,0.7831725381593271,0.010081252730740703,0.005437480295098681,0.005437480295098681,0.005432828593103062
ggHH_kl_5_kt_1_HHbbVV,0.8401003117427284,0.8298623229345102,0.8211889689015982,0.0078619324919828,0.004025771503524865,0.004025771503524865,0.004025771503524865
ggHH_kl_0_kt_1_HHbbVV,1.4345369296604162,1.4108196510567614,1.3914851125520982,0.014068318324307012,0.007782016053961547,0.007782016053961547,0.007782016053961547
VBFHHbbVV,0.02156889733130559,0.021303257817029315,0.021060639681412942,0.0012931968758794201,0.0006854427678831661,0.0006854427678831661,0.0006758770299532982
qqHH_CV_1_C2V_0_kl_1_HHbbVV,11.012094469050279,10.962583580025129,10.923002378960156,2.059297308943604,1.2406537568824318,1.2388583728285814,1.2354031994633865
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,18.524442692856272,18.428510055180677,18.356966151105297,3.3484139633122543,1.9976137463256791,1.9931964354290064,1.9871725502054607
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.0215265594427219,0.021274331021554467,0.021060376292789486,0.0006662685459712951,0.0003789383768114426,0.0003789383768114426,0.0003789383768114426
qqHH_CV_1_C2V_2_kl_1_HHbbVV,9.95087037154981,9.910138396439251,9.879937628610413,1.9459263523899732,1.1685852317246552,1.166778265383696,1.16380471860047
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.056261892429548606,0.05552474006242132,0.054865747881864366,0.0038160932456951504,0.0019719852243270646,0.0019719852243270646,0.001963774833697537
qqHH_CV_0p5_C2V_1_kl_1_HHbbVV,5.947068781212984,5.925556768729572,5.902629263953207,1.1672277636827002,0.6876312847477494,0.6876312847477494,0.6876312847477494
