,Pre-selection,bbFatJetPt_JES_down >= 300,VVFatJetPt_JES_down >= 300,bbFatJetParticleNetMD_Txbb >= 0.9737,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,1.1076155738532725,1.091146309401864,1.0775751363940185,0.7149749249317959,0.7137521450522347,0.7107592633658526
ggHH_kl_2p45_kt_1_HHbbVV,0.8017057185656303,0.7911490082326493,0.7831725381593271,0.5107020601938256,0.5099172563523813,0.5078132535794156
ggHH_kl_5_kt_1_HHbbVV,0.8401003117427284,0.8298623229345102,0.8211889689015982,0.4522008970039393,0.45175263100903656,0.4500724025541477
ggHH_kl_0_kt_1_HHbbVV,1.4345369296604162,1.4108196510567614,1.3914851125520982,0.9144067439421966,0.9130060729647846,0.9090911534821314
VBFHHbbVV,0.02156889733130559,0.021303257817029315,0.021060639681412942,0.013470119112809553,0.013422208590731493,0.013357350829998723
qqHH_CV_1_C2V_0_kl_1_HHbbVV,11.012094469050279,10.962583580025129,10.923002378960156,7.939513984275883,7.923099681572993,7.89188459332419
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,18.524442692856272,18.428510055180677,18.356966151105297,13.291225023354325,13.263911090080512,13.214492068975936
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.0215265594427219,0.021274331021554467,0.021060376292789486,0.010785988022126715,0.01074383192490197,0.010692803206189812
qqHH_CV_1_C2V_2_kl_1_HHbbVV,9.95087037154981,9.910138396439251,9.879937628610413,7.18744344560205,7.172406234205806,7.145534146205566
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.056261892429548606,0.05552474006242132,0.054865747881864366,0.03714115556823552,0.03705597691374653,0.03682317545180476
qqHH_CV_0p5_C2V_1_kl_1_HHbbVV,5.947068781212984,5.925556768729572,5.902629263953207,4.3356545161510285,4.332493528964197,4.322115651525901
