,Pre-selection,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScoreVBF >= 0.999,bbFatJetParticleNetMD_Txbb >= 0.9883,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,1.1076155738532725,1.1000482538439582,1.0935678320187143,0.011383541533287477,0.005640751815267582,0.005640751815267582,0.005630122809218119
ggHH_kl_2p45_kt_1_HHbbVV,0.8017057185656303,0.7967505688556613,0.7930445292495321,0.010081252730740703,0.005437480295098681,0.005437480295098681,0.005432828593103062
ggHH_kl_5_kt_1_HHbbVV,0.8401003117427284,0.8354527927589055,0.8320594978450349,0.0078619324919828,0.004025771503524865,0.004025771503524865,0.004025771503524865
ggHH_kl_0_kt_1_HHbbVV,1.4345369296604162,1.4234080613658215,1.4138367950410329,0.014176899717617925,0.007856919072721711,0.007856919072721711,0.007856919072721711
VBFHHbbVV,0.02156889733130559,0.021435265389209243,0.021312659614637335,0.0012982742202805105,0.0006873021805840979,0.0006873021805840979,0.0006777364426542299
qqHH_CV_1_C2V_0_kl_1_HHbbVV,11.012094469050279,10.989155748948237,10.970294008297934,2.0608552353295897,1.2411736810666143,1.2393782970127636,1.2359231236475687
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,18.524442692856272,18.478374558355636,18.444988776552194,3.3502901309202944,1.9983058074874434,1.9938884965907706,1.987864611367225
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.0215265594427219,0.021411881720740194,0.021308163109968407,0.0006679632036639766,0.00038063303450412396,0.00038063303450412396,0.00038063303450412396
qqHH_CV_1_C2V_2_kl_1_HHbbVV,9.95087037154981,9.931229118293526,9.917143037920416,1.946957244254427,1.169026255546815,1.1672192892058555,1.16422687494386
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.056261892429548606,0.055925886375988984,0.05559233025468232,0.003845382673769722,0.0019840726291005615,0.0019840726291005615,0.001975862238471034
qqHH_CV_0p5_C2V_1_kl_1_HHbbVV,5.947068781212984,5.935073120521078,5.93172727710674,1.1672277636827002,0.6876312847477494,0.6876312847477494,0.6876312847477494
