,Pre-selection,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore_JMS_up >= 0.995,bbFatJetParticleNetMD_Txbb >= 0.9737,BDTScoreVBF < 0.999 or bbFatJetParticleNetMD_Txbb < 0.9883,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,1.1076155738532725,1.1000482538439582,1.0935678320187143,0.08564934644935039,0.058822114999743144,0.05382613156511781,0.05373455965141314,0.05353216264530068
ggHH_kl_2p45_kt_1_HHbbVV,0.8017057185656303,0.7967505688556613,0.7930445292495321,0.06066816110676529,0.04222483073679688,0.03769755630216694,0.03766048917377884,0.037511184412023224
ggHH_kl_5_kt_1_HHbbVV,0.8401003117427284,0.8354527927589055,0.8320594978450349,0.042899490956645,0.028839522799601967,0.025806177382549603,0.025806177382549603,0.02576860811747696
ggHH_kl_0_kt_1_HHbbVV,1.4345369296604162,1.4234080613658215,1.4138367950410329,0.09923691324123132,0.06707481366506027,0.060535318116535265,0.06037304116170868,0.060301544165574844
VBFHHbbVV,0.02156889733130559,0.021435265389209243,0.021312659614637335,0.0014033618653118151,0.0010038916428435976,0.0006314044724407966,0.0006294184993281177,0.0006204761286746517
qqHH_CV_1_C2V_0_kl_1_HHbbVV,11.012094469050279,10.989155748948237,10.970294008297934,1.143145635876881,0.8610489168446099,0.38780571669957553,0.3869776079037515,0.3852186110398673
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,18.524442692856272,18.478374558355636,18.444988776552194,1.9049014982747274,1.420327961437465,0.6506672987919218,0.6495746596445492,0.6471711643882423
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.0215265594427219,0.021411881720740194,0.021308163109968407,0.0007606385542565696,0.000504903175893918,0.00030388965351391877,0.00030160382720560903,0.00030160382720560903
qqHH_CV_1_C2V_2_kl_1_HHbbVV,9.95087037154981,9.931229118293526,9.917143037920416,1.0553582139499849,0.7923064082599152,0.3488387002655368,0.3480810748360605,0.3469356813499983
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.056261892429548606,0.055925886375988984,0.05559233025468232,0.004274961712406761,0.0031488148295004924,0.0020133234451494434,0.0020133234451494434,0.0019980500410829325
qqHH_CV_0p5_C2V_1_kl_1_HHbbVV,5.947068781212984,5.935073120521078,5.93172727710674,0.6900469565754006,0.5429678623919107,0.2624359971780681,0.2624359971780681,0.2624359971780681
