,Pre-selection,bbFatJetPt_JER_down >= 300,VVFatJetPt_JER_down >= 300,BDTScore_JER_down >= 0.995,bbFatJetParticleNetMD_Txbb >= 0.9737,BDTScoreVBF < 0.999 or bbFatJetParticleNetMD_Txbb < 0.9883,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,1.1076155738532725,1.10026086954089,1.0938410699480556,0.08598038908678843,0.058853184290271573,0.053896882847053074,0.05380531093334841,0.05360291392723594
ggHH_kl_2p45_kt_1_HHbbVV,0.8017057185656303,0.7968145524705891,0.7930671227635825,0.06057929846433627,0.042145822202240876,0.03762951325150192,0.03759244612311381,0.03743517955934635
ggHH_kl_5_kt_1_HHbbVV,0.8401003117427284,0.8351595843048549,0.8316499128333334,0.042940329809729345,0.028894829697496748,0.025835144251115723,0.025835144251115723,0.02579757498604308
ggHH_kl_0_kt_1_HHbbVV,1.4345369296604162,1.423476518430441,1.4139282046529575,0.09932569621669006,0.06700341173441832,0.06038590956797102,0.0601872331825048,0.06011573618637096
VBFHHbbVV,0.02156889733130559,0.021434970831585055,0.021304473134623324,0.001402859124509591,0.0010008774012364046,0.0006239089812762784,0.0006219230081635994,0.0006129806375101335
qqHH_CV_1_C2V_0_kl_1_HHbbVV,11.012094469050279,10.990345995576867,10.97165165869965,1.143195445749145,0.8608571949927739,0.3877473201729444,0.38691921137712043,0.3851602145132361
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,18.524442692856272,18.478857068577998,18.44548678868924,1.906225700487559,1.4237999296393298,0.6529391670041695,0.6518465278567969,0.649323435412561
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.0215265594427219,0.021412813910168284,0.02129644312553527,0.0007734369709050266,0.0005172836594053687,0.00030676086130699545,0.0003044750349986857,0.0003044750349986857
qqHH_CV_1_C2V_2_kl_1_HHbbVV,9.95087037154981,9.932487406806462,9.917898197282815,1.0548876818060324,0.7914481310146546,0.34810862660295017,0.34737497502462267,0.3462267161652548
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.056261892429548606,0.055961515905737606,0.055608767767208196,0.004223422436848271,0.0031027639015557135,0.001969252370323231,0.001969252370323231,0.0019539789662567208
qqHH_CV_0p5_C2V_1_kl_1_HHbbVV,5.947068781212984,5.938217035448208,5.936850602971381,0.6838246157402513,0.5382761964107605,0.25547696332870334,0.25547696332870334,0.25547696332870334
