,Pre-selection,bbFatJetPt_JER_down >= 300,VVFatJetPt_JER_down >= 300,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9737,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,1.1076155738532725,1.10026086954089,1.0938410699480556,0.3686108427921435,0.36797914695720324,0.36609790022840577
ggHH_kl_2p45_kt_1_HHbbVV,0.8017057185656303,0.7968145524705891,0.7930671227635825,0.27627104834759536,0.27586598640068594,0.27442029336427415
ggHH_kl_5_kt_1_HHbbVV,0.8401003117427284,0.8351595843048549,0.8316499128333334,0.37422511178232987,0.3736409997273118,0.3714190310174447
ggHH_kl_0_kt_1_HHbbVV,1.4345369296604162,1.423476518430441,1.4139282046529575,0.48604229827730605,0.48493524103597857,0.4826893105036213
VBFHHbbVV,0.02156889733130559,0.021434970831585055,0.021304473134623324,0.0076727406154934,0.007647676051827987,0.0076042561190779396
qqHH_CV_1_C2V_0_kl_1_HHbbVV,11.012094469050279,10.990345995576867,10.97165165869965,2.9996029712687897,2.9922953747889878,2.9769560567170754
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,18.524442692856272,18.478857068577998,18.44548678868924,5.097300372586086,5.084356689808666,5.059433895637122
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.0215265594427219,0.021412813910168284,0.02129644312553527,0.010391709756935865,0.010336575043854272,0.010271728100737003
qqHH_CV_1_C2V_2_kl_1_HHbbVV,9.95087037154981,9.932487406806462,9.917898197282815,2.705705213284007,2.699816676606312,2.6860358585046566
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.056261892429548606,0.055961515905737606,0.055608767767208196,0.01804950391633189,0.01799270513534825,0.01790183131783101
qqHH_CV_0p5_C2V_1_kl_1_HHbbVV,5.947068781212984,5.938217035448208,5.936850602971381,1.581399172042056,1.572736052752211,1.5636760510355547
