,Pre-selection,bbFatJetPt_JER_up >= 300,VVFatJetPt_JER_up >= 300,BDTScoreVBF >= 0.999,bbFatJetParticleNetMD_Txbb >= 0.9883,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,1.1076155738532725,1.0995220861160289,1.0930558866287805,0.011383541533287477,0.005640751815267582,0.005640751815267582,0.005630122809218119
ggHH_kl_2p45_kt_1_HHbbVV,0.8017057185656303,0.7966101692192086,0.7929571032625816,0.010084568637497392,0.005440796201855369,0.005440796201855369,0.00543614449985975
ggHH_kl_5_kt_1_HHbbVV,0.8401003117427284,0.835320131112392,0.8319351772120007,0.0078619324919828,0.004025771503524865,0.004025771503524865,0.004025771503524865
ggHH_kl_0_kt_1_HHbbVV,1.4345369296604162,1.4235916341369612,1.4139670655489147,0.014137908894853519,0.007817928249957307,0.007817928249957307,0.007817928249957307
VBFHHbbVV,0.02156889733130559,0.0214373138318871,0.021323802428487942,0.0013007638793185467,0.0006873021805840979,0.0006873021805840979,0.0006777364426542299
qqHH_CV_1_C2V_0_kl_1_HHbbVV,11.012094469050279,10.987926009306303,10.96917223628575,2.06068953815966,1.2411598571792248,1.2393644731253741,1.2359092997601793
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,18.524442692856272,18.477402701983422,18.444632269694132,3.3505148539532827,1.9983117543725868,1.993894443475914,1.9878705582523686
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.0215265594427219,0.021410567209143024,0.021309173027726083,0.0006662685459712951,0.0003789383768114426,0.0003789383768114426,0.0003789383768114426
qqHH_CV_1_C2V_2_kl_1_HHbbVV,9.95087037154981,9.930678314801408,9.916616046952432,1.9469348584830006,1.1689951365999778,1.167188170259018,1.1641957559970226
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.056261892429548606,0.05588785768854722,0.05553877858810098,0.003845382673769722,0.0019840726291005615,0.0019840726291005615,0.001975862238471034
qqHH_CV_0p5_C2V_1_kl_1_HHbbVV,5.947068781212984,5.936031558422501,5.932685715008162,1.1672277636827002,0.6876312847477494,0.6876312847477494,0.6876312847477494
