,Pre-selection,bbFatJetPt_JER_up >= 300,VVFatJetPt_JER_up >= 300,BDTScore_JER_up >= 0.995,bbFatJetParticleNetMD_Txbb >= 0.9737,BDTScoreVBF < 0.999 or bbFatJetParticleNetMD_Txbb < 0.9883,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,1.1076155738532725,1.0995220861160289,1.0930558866287805,0.08604298035782178,0.05901336148375925,0.05403560923023985,0.053957949263920696,0.05375555225780823
ggHH_kl_2p45_kt_1_HHbbVV,0.8017057185656303,0.7966101692192086,0.7929571032625816,0.06043999073315488,0.042079445146724036,0.0375595920809505,0.03752252495256239,0.037373220190806786
ggHH_kl_5_kt_1_HHbbVV,0.8401003117427284,0.835320131112392,0.8319351772120007,0.042745190440972955,0.028812432169387857,0.02577908675233549,0.02577908675233549,0.025741517487262847
ggHH_kl_0_kt_1_HHbbVV,1.4345369296604162,1.4235916341369612,1.4139670655489147,0.09903080871749834,0.06696607385854525,0.06038756251486235,0.06018888612939614,0.0601173891332623
VBFHHbbVV,0.02156889733130559,0.0214373138318871,0.021323802428487942,0.001411693324209041,0.0010023465045422013,0.0006249466809239209,0.0006229607078112419,0.000614018337157776
qqHH_CV_1_C2V_0_kl_1_HHbbVV,11.012094469050279,10.987926009306303,10.96917223628575,1.1429040079986594,0.8605545663456101,0.3875643055950866,0.3866892798477612,0.384930282983877
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,18.524442692856272,18.477402701983422,18.444632269694132,1.9035250675240645,1.421141080398179,0.6514262187445354,0.6503335795971628,0.647930084340856
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.0215265594427219,0.021410567209143024,0.021309173027726083,0.0007647284875131631,0.0005118675363486483,0.00030772851524974126,0.00030544268894143147,0.00030544268894143147
qqHH_CV_1_C2V_2_kl_1_HHbbVV,9.95087037154981,9.930678314801408,9.916616046952432,1.0554373483422363,0.7925558580275294,0.3491659846817908,0.3484083592523144,0.347239708044893
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.056261892429548606,0.05588785768854722,0.05553877858810098,0.004263204425620322,0.0031315788798861382,0.002004070040237348,0.002004070040237348,0.0019887966361708375
qqHH_CV_0p5_C2V_1_kl_1_HHbbVV,5.947068781212984,5.936031558422501,5.932685715008162,0.6831669633200464,0.5398975143914682,0.25709828130941087,0.25709828130941087,0.25709828130941087
