,Pre-selection,bbFatJetPt_JER_down >= 300,VVFatJetPt_JER_down >= 300,bbFatJetParticleNetMD_Txbb >= 0.9737,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,1.1076155738532725,1.10026086954089,1.0938410699480556,0.7252302271559122,0.7239779590385662,0.7209261078705003
ggHH_kl_2p45_kt_1_HHbbVV,0.8017057185656303,0.7968145524705891,0.7930671227635825,0.5167960744159872,0.5159978196561559,0.5138747211959448
ggHH_kl_5_kt_1_HHbbVV,0.8401003117427284,0.8351595843048549,0.8316499128333334,0.4574248010510035,0.4569765350561008,0.4552294955599828
ggHH_kl_0_kt_1_HHbbVV,1.4345369296604162,1.423476518430441,1.4139282046529575,0.9278859063756516,0.9264601462773365,0.9224639880255988
VBFHHbbVV,0.02156889733130559,0.021434970831585055,0.021304473134623324,0.01363173251912992,0.01358382199705186,0.01351896423631909
qqHH_CV_1_C2V_0_kl_1_HHbbVV,11.012094469050279,10.990345995576867,10.97165165869965,7.972048687430859,7.955567615964109,7.924226375250336
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,18.524442692856272,18.478857068577998,18.44548678868924,13.348186416103157,13.320753165018555,13.270977695927616
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.0215265594427219,0.021412813910168284,0.02129644312553527,0.010904733368599408,0.01086257727137466,0.010809553757368506
qqHH_CV_1_C2V_2_kl_1_HHbbVV,9.95087037154981,9.932487406806462,9.917898197282815,7.212192983998805,7.197051083541184,7.169992231334062
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.056261892429548606,0.055961515905737606,0.055608767767208196,0.03755926385087631,0.037470154261654856,0.03723735279971309
qqHH_CV_0p5_C2V_1_kl_1_HHbbVV,5.947068781212984,5.938217035448208,5.936850602971381,4.355451430929325,4.352290443742493,4.341912566304197
