,Pre-selection,bbFatJetPt_JER_up >= 300,VVFatJetPt_JER_up >= 300,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9737,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,1.1076155738532725,1.0995220861160289,1.0930558866287805,0.36844738990163267,0.3678086044817608,0.3659273577529633
ggHH_kl_2p45_kt_1_HHbbVV,0.8017057185656303,0.7966101692192086,0.7929571032625816,0.27627490910770397,0.2758698471607945,0.2744240177807419
ggHH_kl_5_kt_1_HHbbVV,0.8401003117427284,0.835320131112392,0.8319351772120007,0.37432639456042005,0.37373714181969186,0.37150312460255347
ggHH_kl_0_kt_1_HHbbVV,1.4345369296604162,1.4235916341369612,1.4139670655489147,0.48645171737518805,0.4853446601338606,0.48309872960150335
VBFHHbbVV,0.02156889733130559,0.0214373138318871,0.021323802428487942,0.007691922596981022,0.007666858033315609,0.0076234381005655626
qqHH_CV_1_C2V_0_kl_1_HHbbVV,11.012094469050279,10.987926009306303,10.96917223628575,2.9986544934588526,2.991353683785938,2.9759884962008383
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,18.524442692856272,18.477402701983422,18.444632269694132,5.09693992980683,5.083943659705257,5.059020865533715
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.0215265594427219,0.021410567209143024,0.021309173027726083,0.01040483224451989,0.010349697531438296,0.010284850588321029
qqHH_CV_1_C2V_2_kl_1_HHbbVV,9.95087037154981,9.930678314801408,9.916616046952432,2.7050637818643257,2.6991959706343587,2.6854871530815836
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.056261892429548606,0.05588785768854722,0.05553877858810098,0.018014082629224597,0.017957283848240958,0.017866410030723714
qqHH_CV_0p5_C2V_1_kl_1_HHbbVV,5.947068781212984,5.936031558422501,5.932685715008162,1.5792136950163487,1.5705505757265037,1.5614905740098473
