,Pre-selection,QCD SF,LP SF,bbFatJetPt_JES_up >= 300,VVFatJetPt_JES_up >= 300,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9714,bbFatJetPt >= 300,VVFatJetPt >= 300
HHbbVV,1.676130328580837,1.676130328580837,1.676130328580837,1.6757548522012857,1.6755174017437258,0.5453205807422401,,
ggHH_kl_2p45_kt_1_HHbbVV,1.264909243644536,1.264909243644536,1.264909243644536,1.2646782303040833,1.264572593981776,0.42943474393445413,,
ggHH_kl_5_kt_1_HHbbVV,1.3326632776423553,1.3326632776423553,1.3326632776423553,1.3324796079223353,1.3322927686557362,0.5945574437202295,,
ggHH_kl_0_kt_1_HHbbVV,2.1462080925701774,2.1462080925701774,2.1462080925701774,2.14574120877309,2.1453802117397194,0.7086437530127986,,
VBFHHbbVV,0.034024377674540085,0.034024377674540085,0.034024377674540085,0.03401878632576567,0.034014078043477246,0.011569942524001346,,
qqHH_CV_1_C2V_0_kl_1_HHbbVV,20.76198779204722,20.76198779204722,20.76198779204722,20.760097256521927,20.759327537372858,5.509500809689827,,
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,34.78860657736119,34.78860657736119,34.78860657736119,34.78501103778664,34.783889362401446,9.26505878235784,,
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.03499528349928152,0.03499528349928152,0.03499528349928152,0.03499348154814317,0.034986891371333685,0.01676807342779917,,
qqHH_CV_1_C2V_2_kl_1_HHbbVV,18.901746176077005,18.901746176077005,18.901746176077005,18.899812612265276,18.89899725944025,4.975089285382166,,
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.08890353276162892,0.08890353276162892,0.08890353276162892,0.08889022380899324,0.08886420846200346,0.027469061814808984,,
QCD,1117757.9198795073,1146810.7163518853,1146810.7163518853,1146545.8889580548,1146396.0874823101,911952.5563523556,,
TT,114729.52068857195,114729.52068857195,114729.52068857195,114706.15876300249,114683.14121694586,92064.26986695254,,
ST,9991.097357360093,9991.097357360093,9991.097357360093,9989.024577587452,9987.966441260009,8077.067836052221,,
W+Jets,14710.822213085146,14710.822213085146,14710.822213085146,14707.90486347219,14705.855078584122,12167.583145845365,,
Z+Jets,21597.004857058182,21597.004857058182,21597.004857058182,21592.713993914025,21589.977951000445,12090.38444285076,,
Diboson,936.1606241609028,936.1606241609028,936.1606241609028,935.6242769877188,935.6242769877188,536.3427360662185,,
ggFHbb,224.56874142701201,224.56874142701201,224.56874142701201,224.5170485658804,224.45546900141025,71.3360323265263,,
VBFHbb,66.27722451912622,66.27722451912622,66.27722451912622,66.27546093253595,66.27338743540412,20.02992078863908,,
ZHbb,63.465766584473805,63.465766584473805,63.465766584473805,63.45579974544757,63.45287399754096,19.18119480581775,,
WHbb,108.86564442012758,108.86564442012758,108.86564442012758,108.84087638332325,108.83414264832638,36.69465197340918,,
ggZHbb,9.5080271296301,9.5080271296301,9.5080271296301,9.505625210234324,9.504521809114898,3.835872469480269,,
ttHbb,312.2634270090423,312.2634270090423,312.2634270090423,312.18019451465693,312.12908216023584,197.53444178140774,,
HWW,150.72907678953348,150.72907678953348,150.72907678953348,150.68815304215195,150.65286062054875,121.5411309994142,,
Data,1309711.0,1309711.0,1309711.0,,,1062010.0,1309711.0,1309711.0
