,Pre-selection,QCD SF,LP SF,bbFatJetPt_JER_up >= 300,VVFatJetPt_JER_up >= 300,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9714,bbFatJetPt >= 300,VVFatJetPt >= 300
HHbbVV,1.676130328580837,1.676130328580837,1.676130328580837,1.6709099393660427,1.6672443971869404,0.5425425351947483,,
ggHH_kl_2p45_kt_1_HHbbVV,1.264909243644536,1.264909243644536,1.264909243644536,1.2615043790201776,1.2594839199156975,0.4273728482925533,,
ggHH_kl_5_kt_1_HHbbVV,1.3326632776423553,1.3326632776423553,1.3326632776423553,1.3287072451979367,1.3262024089084452,0.5915291294961489,,
ggHH_kl_0_kt_1_HHbbVV,2.1462080925701774,2.1462080925701774,2.1462080925701774,2.1395602785254177,2.135088538056755,0.7049675982475435,,
VBFHHbbVV,0.034024377674540085,0.034024377674540085,0.034024377674540085,0.03392066619570052,0.03385693686252096,0.0115025726867447,,
qqHH_CV_1_C2V_0_kl_1_HHbbVV,20.76198779204722,20.76198779204722,20.76198779204722,20.73936620680514,20.725053995083915,5.498706214004497,,
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,34.78860657736119,34.78860657736119,34.78860657736119,34.745830024675186,34.72232429758777,9.245847486535922,,
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.03499528349928152,0.03499528349928152,0.03499528349928152,0.03487892569553672,0.034818203039090424,0.016681695978323762,,
qqHH_CV_1_C2V_2_kl_1_HHbbVV,18.901746176077005,18.901746176077005,18.901746176077005,18.881339862897445,18.870516294954562,4.965632738730632,,
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.08890353276162892,0.08890353276162892,0.08890353276162892,0.08865461665925986,0.08847362914093906,0.02729967784553912,,
QCD,1117757.9198795073,1146810.7163518853,1146810.7163518853,1142943.5336606065,1140253.6797331353,907084.5558255092,,
TT,114729.52068857195,114729.52068857195,114729.52068857195,114437.97026728191,114132.08746619607,91615.56369179636,,
ST,9991.097357360093,9991.097357360093,9991.097357360093,9961.00046905086,9938.240034904185,8036.812959953431,,
W+Jets,14710.822213085146,14710.822213085146,14710.822213085146,14670.386968672208,14643.532361751837,12114.887858360831,,
Z+Jets,21597.004857058182,21597.004857058182,21597.004857058182,21527.43054513457,21486.385080340002,12034.802528783717,,
Diboson,936.1606241609028,936.1606241609028,936.1606241609028,932.1843657435936,930.3708375626252,534.1653093797361,,
ggFHbb,224.56874142701201,224.56874142701201,224.56874142701201,224.0890706789042,223.6905964784125,71.01484579701038,,
VBFHbb,66.27722451912622,66.27722451912622,66.27722451912622,66.158353933224,66.05208234932266,19.96549799470848,,
ZHbb,63.465766584473805,63.465766584473805,63.465766584473805,63.28863350654419,63.18969796746182,19.081928097880663,,
WHbb,108.86564442012758,108.86564442012758,108.86564442012758,108.59950330312063,108.482473694838,36.56266007326936,,
ggZHbb,9.5080271296301,9.5080271296301,9.5080271296301,9.48581603967797,9.468074681719918,3.8212673259319434,,
ttHbb,312.2634270090423,312.2634270090423,312.2634270090423,311.30158920167617,310.42204762583594,196.41387372214587,,
HWW,150.72907678953348,150.72907678953348,150.72907678953348,150.30305058855018,149.8340750587529,120.90638669268658,,
Data,1309711.0,1309711.0,1309711.0,,,1062010.0,1309711.0,1309711.0
