,Pre-selection,TriggerEffs,QCD SF,LP SF,bbFatJetPt_JER_down ≥ 300,VVFatJetPt_JER_down ≥ 300,bbFatJetParticleNetMD_Txbb ≥ 0.8,bbFatJetParticleNetMD_Txbb < 0.988,bbFatJetPt ≥ 300,VVFatJetPt ≥ 300
HHbbVV,4.195008340515057,1.9850190976132749,1.9850190976132749,1.9850190976132749,1.9792619381639132,1.974470932263776,1.974470932263776,1.0702986311844476,,
QCD,3048446.9999554865,1299994.2424323014,1390671.9664265167,1390671.9664265167,1385620.060027939,1381844.5364999783,1381844.5364999783,1274668.5974324336,,
TT,193771.92446254156,108971.33199740764,108971.33199740764,108971.33199740764,108589.01452386696,108173.95597761287,108173.95597761287,100679.31347510382,,
ST,13841.807461920154,8207.352255699509,8207.352255699509,8207.352255699509,8172.9601083355565,8154.12835173251,8154.12835173251,7604.132500388976,,
V+Jets,85738.12281680925,44939.42374107139,44939.42374107139,44939.42374107139,44785.10274181382,44678.366987225694,44678.366987225694,36347.04239294468,,
Diboson,1314.1944037157127,717.9255793045147,717.9255793045147,717.9255793045147,715.1387886645152,712.5080693401285,712.5080693401285,525.768258178261,,
Data,1553508.0,1553508.0,1553508.0,1553508.0,,,1553508.0,1443388.0,1553508.0,1553508.0
