,Pre-selection,TriggerEffs,QCD SF,LP SF,bbFatJetPt_JER_down ≥ 300,VVFatJetPt_JER_down ≥ 300,BDTScore_JER_down ≥ 0.9985,bbFatJetParticleNetMD_Txbb ≥ 0.988,bbFatJetPt ≥ 300,VVFatJetPt ≥ 300,BDTScore ≥ 0.9985
HHbbVV,4.195008340515057,1.9850190976132749,1.9850190976132749,1.9850190976132749,1.9792619381639132,1.974470932263776,0.12160333596828224,0.05941381655267748,,,
QCD,3048446.9999554865,1299994.2424323014,1390671.9664265167,1390671.9664265167,1385620.060027939,1381844.5364999783,17.500003802079714,3.750748995759587,,,
TT,193771.92446254156,108971.33199740764,108971.33199740764,108971.33199740764,108589.01452386696,108173.95597761287,13.84237155448156,0.7211041763978671,,,
ST,13841.807461920154,8207.352255699509,8207.352255699509,8207.352255699509,8172.9601083355565,8154.12835173251,1.634047593590378,0.07679153623179812,,,
V+Jets,85738.12281680925,44939.42374107139,44939.42374107139,44939.42374107139,44785.10274181382,44678.366987225694,6.520969340585287,0.9550287820711335,,,
Diboson,1314.1944037157127,717.9255793045147,717.9255793045147,717.9255793045147,715.1387886645152,712.5080693401285,0.0,0.0,,,
Data,1553508.0,1553508.0,1553508.0,1553508.0,,,,12.0,1553508.0,1553508.0,94.0
