,Pre-selection,TriggerEffs,QCD SF,LP SF,bbFatJetPt_JER_up ≥ 300,VVFatJetPt_JER_up ≥ 300,bbFatJetParticleNetMD_Txbb ≥ 0.8,bbFatJetParticleNetMD_Txbb < 0.988,bbFatJetPt ≥ 300,VVFatJetPt ≥ 300
HHbbVV,4.195008340515057,1.9850190976132749,1.9850190976132749,1.9850190976132749,1.9788052031989996,1.9736219957032173,1.9736219957032173,1.069893179967639,,
QCD,3048446.9999554865,1299994.2424323014,1390671.9664265167,1390671.9664265167,1385206.6928731045,1381051.0975345988,1381051.0975345988,1273911.8284637802,,
TT,193771.92446254156,108971.33199740764,108971.33199740764,108971.33199740764,108601.81070875395,108196.36935089804,108196.36935089804,100699.15284930968,,
ST,13841.807461920154,8207.352255699509,8207.352255699509,8207.352255699509,8174.132294625355,8156.989415988454,8156.989415988454,7606.169625462522,,
V+Jets,85738.12281680925,44939.42374107139,44939.42374107139,44939.42374107139,44772.108735607646,44656.7352816859,44656.7352816859,36328.02760818035,,
Diboson,1314.1944037157127,717.9255793045147,717.9255793045147,717.9255793045147,715.7092454493911,713.5842979466927,713.5842979466927,526.3144700278087,,
Data,1553508.0,1553508.0,1553508.0,1553508.0,,,1553508.0,1443388.0,1553508.0,1553508.0
