,Pre-selection,TriggerEffs,QCD SF,LP SF,bbFatJetPt_JER_up ≥ 300,VVFatJetPt_JER_up ≥ 300,BDTScore_JER_up ≥ 0.9985,bbFatJetParticleNetMD_Txbb ≥ 0.988,bbFatJetPt ≥ 300,VVFatJetPt ≥ 300,BDTScore ≥ 0.9985
HHbbVV,4.195008340515057,1.9850190976132749,1.9850190976132749,1.9850190976132749,1.9788052031989996,1.9736219957032173,0.1219618136411594,0.05938027525933387,,,
QCD,3048446.9999554865,1299994.2424323014,1390671.9664265167,1390671.9664265167,1385206.6928731045,1381051.0975345988,17.29340068434858,3.750748995759587,,,
TT,193771.92446254156,108971.33199740764,108971.33199740764,108971.33199740764,108601.81070875395,108196.36935089804,13.807639092786294,0.7603078980616531,,,
ST,13841.807461920154,8207.352255699509,8207.352255699509,8207.352255699509,8174.132294625355,8156.989415988454,1.5964915782413711,0.07679153623179812,,,
V+Jets,85738.12281680925,44939.42374107139,44939.42374107139,44939.42374107139,44772.108735607646,44656.7352816859,6.715263400305656,0.9550287820711335,,,
Diboson,1314.1944037157127,717.9255793045147,717.9255793045147,717.9255793045147,715.7092454493911,713.5842979466927,0.0,0.0,,,
Data,1553508.0,1553508.0,1553508.0,1553508.0,,,,12.0,1553508.0,1553508.0,94.0
