,Pre-selection,QCD SF,LP SF,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScoreVBF < 0.999,BDTScore_JMR_up >= 0.9965,bbFatJetParticleNetMD_Txbb >= 0.9735,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,BDTScore >= 0.9965
HHbbVV,0.9147081031687907,0.9147081031687907,0.9147081031687907,0.9088022319312213,0.9037950499185726,0.894212043817242,0.04019841769705764,0.027971863688876032,0.027913512011261514,0.02771953105902907,
ggHH_kl_2p45_kt_1_HHbbVV,0.6688447704532685,0.6688447704532685,0.6688447704532685,0.6649531572120448,0.6617354385600798,0.653853543382392,0.028639548483749593,0.019559750934420486,0.019540474628000466,0.019459340698897633,
ggHH_kl_5_kt_1_HHbbVV,0.6956895087373941,0.6956895087373941,0.6956895087373941,0.6920514447111688,0.6892047021562906,0.6824919198831819,0.018819417654196847,0.013466459990253846,0.013466459990253846,0.013402543091877852,
ggHH_kl_0_kt_1_HHbbVV,1.1944766869755938,1.1944766869755938,1.1944766869755938,1.1863493648635597,1.17930333767202,1.167623605571839,0.05219421928078189,0.037005011657458606,0.03689160655610473,0.036793239305492276,
VBFHHbbVV,0.017115373482989717,0.017115373482989717,0.017115373482989717,0.017030078444247275,0.016924919012766975,0.01590667766396585,0.00032571551735776277,0.00023681304629013172,0.00023681304629013172,0.0002311687153698842,
qqHH_CV_1_C2V_0_kl_1_HHbbVV,9.060969753010587,9.060969753010587,9.060969753010587,9.041934826728792,9.02728294983494,7.31906058432527,0.16911477232054828,0.12339134300772148,0.12314852714451671,0.12249048918772573,
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,15.269096111629358,15.269096111629358,15.269096111629358,15.23647158421826,15.20829496277662,12.421229934293198,0.2885159385014362,0.20983642057036142,0.20906725732976789,0.20796073414355795,
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.0173959132140592,0.0173959132140592,0.0173959132140592,0.017299990201845,0.017214419089199705,0.01673053413943861,0.00019950691088838665,0.00011976572855282224,0.00011976572855282224,0.00011976572855282224,
qqHH_CV_1_C2V_2_kl_1_HHbbVV,8.138882127595444,8.138882127595444,8.138882127595444,8.123943352838433,8.11286122859791,6.505724563528981,0.14933561892224437,0.11017395903948207,0.11004826837795176,0.10945968554046273,
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.04617824244896124,0.04617824244896124,0.04617824244896124,0.0459311591300662,0.04565497610400018,0.041769973666991776,0.0010149145737685583,0.0007250330686153844,0.0007250330686153844,0.0007250330686153844,
QCD,717986.216814939,956785.8146709627,956785.8146709627,948406.4124347997,941617.267942029,941611.5011837472,11.913162219770742,0.0,0.0,0.0,
TT,63126.80979180276,63126.80979180276,63126.80979180276,62714.21430804499,62290.703474200425,62288.9303772574,9.459026063549086,2.3370400579307704,2.1555887931065785,2.081754141581267,
ST,5417.824558008516,5417.824558008516,5417.824558008516,5380.176293677084,5350.773696634727,5350.7186052379175,0.7163401517499594,0.2793657353914413,0.2793657353914413,0.2793657353914413,
W+Jets,9487.889178263631,9487.889178263631,9487.889178263631,9424.292575831972,9375.118673797197,9374.685787885508,2.2091401595962017,0.534474223677047,0.534474223677047,0.534474223677047,
Z+Jets,12055.822300436781,12055.822300436781,12055.822300436781,11968.016139487008,11904.514452147456,11904.380330249478,1.5922703078127414,0.6448883763118661,0.6448883763118661,0.6448883763118661,
Diboson,544.751536187187,544.751536187187,544.751536187187,541.5192000426408,539.5255957808083,539.5255957808083,0.0,0.0,0.0,0.0,
ggFHbb,120.74204174793252,120.74204174793252,120.74204174793252,120.02707196890958,119.27175261578469,119.27175261578469,0.0,0.0,0.0,0.0,
VBFHbb,32.24173303425971,32.24173303425971,32.24173303425971,32.089487243194796,31.921442997500897,31.921442997500897,0.0,0.0,0.0,0.0,
ZHbb,32.70020301080715,32.70020301080715,32.70020301080715,32.51666448179822,32.40029638484181,32.40029638484181,0.0032189267356106596,0.0032189267356106596,0.0032189267356106596,0.0032189267356106596,
WHbb,56.014320595270185,56.014320595270185,56.014320595270185,55.69337399997595,55.51504919284625,55.51504919284625,0.0042440178225057225,0.002268185352274512,0.002268185352274512,0.002268185352274512,
ggZHbb,4.8805631912185055,4.8805631912185055,4.8805631912185055,4.852821845932874,4.827078996358681,4.826854261517424,0.00029666866082620695,0.0,0.0,0.0,
ttHbb,156.94119216557863,156.94119216557863,156.94119216557863,155.9939482895008,154.97672213467678,154.97141978934926,0.027295357851910902,0.010757777963378222,0.010757777963378222,0.00914042702569307,
HWW,80.56791059341468,80.56791059341468,80.56791059341468,80.1332628058381,79.59897023669294,79.52003283293574,0.38427634397543553,0.11717196209233041,0.11304228754649422,0.10365516166004976,
Data,1047903.0,1047903.0,1047903.0,1047903.0,1047903.0,1047879.0,,13.0,13.0,12.0,97.0
