,Pre-selection,QCD SF,LP SF,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore >= 0.9997,bbFatJetParticleNetMD_Txbb >= 0.987,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,1.676130328580837,1.676130328580837,1.676130328580837,1.6712036429905937,1.6670538167650584,0.033225541727658944,0.0166035155818234,0.01658498926372761,0.016516308122587163
qqHH_CV_1_C2V_0_kl_1_HHbbVV,20.76198779204722,20.76198779204722,20.76198779204722,20.740910849479715,20.727007927656505,0.4427006299300362,0.2595872488421913,0.2592913026165124,0.2584498613090709
QCD,1117757.9198795073,1251971.716351885,1251971.716351885,1247814.9781850395,1244750.07933536,0.0,0.0,0.0,0.0
TT,114729.52068857195,114729.52068857195,114729.52068857195,114375.90267312861,114019.19131760647,1.0161677859561022,0.09819583912532676,0.09819583912532676,0.09819583912532676
ST,9991.097357360093,9991.097357360093,9991.097357360093,9956.444147193402,9930.244963807756,-0.04254772285788505,0.0,0.0,0.0
W+Jets,14710.822213085146,14710.822213085146,14710.822213085146,14672.491652608198,14641.631954844934,0.6449418366907974,0.0,0.0,0.0
Z+Jets,21597.004857058182,21597.004857058182,21597.004857058182,21522.694272012075,21479.126831498128,0.28225100676108866,0.14211260938948772,0.14211260938948772,0.14211260938948772
Diboson,936.1606241609028,936.1606241609028,936.1606241609028,932.3120773317856,930.6761200627391,0.0,0.0,0.0,0.0
ggFHbb,224.56874142701201,224.56874142701201,224.56874142701201,224.09132954605533,223.5656191986538,0.0,0.0,0.0,0.0
VBFHbb,66.27722451912622,66.27722451912622,66.27722451912622,66.16198883813554,66.0249915252132,0.0,0.0,0.0,0.0
ZHbb,63.465766584473805,63.465766584473805,63.465766584473805,63.322797344840964,63.235634550720064,0.0002787393852770451,0.0002787393852770451,0.0002787393852770451,0.0002787393852770451
WHbb,108.86564442012758,108.86564442012758,108.86564442012758,108.63886528171966,108.52664862322723,0.000884171113720402,0.0,0.0,0.0
ggZHbb,9.5080271296301,9.5080271296301,9.5080271296301,9.483212575914823,9.46312346044892,0.0,0.0,0.0,0.0
ttHbb,312.2634270090423,312.2634270090423,312.2634270090423,311.1744105719533,310.21793216817366,0.008572188232079527,0.0024124437817986334,0.0024124437817986334,0.0024124437817986334
HWW,150.72907678953348,150.72907678953348,150.72907678953348,150.22850888691733,149.66583899443282,0.2663088053116808,0.04560463540394675,0.04388526153625689,0.04388526153625689
Data,1414872.0,1414872.0,1414872.0,1414872.0,1414872.0,18.0,0.0,0.0,0.0
