,Pre-selection,QCD SF,LP SF,bbFatJetPt_JES_up >= 300,VVFatJetPt_JES_up >= 300,BDTScoreVBF < 0.999,BDTScore_JES_up >= 0.9965,bbFatJetParticleNetMD_Txbb >= 0.9714,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore >= 0.9965
HHbbVV,1.676130328580837,1.676130328580837,1.676130328580837,1.6757548522012857,1.6755174017437258,1.646613130321141,0.11020102725628254,0.07746786635652082,0.07735382353002167,0.07687676145466812,,,
ggHH_kl_2p45_kt_1_HHbbVV,1.264909243644536,1.264909243644536,1.264909243644536,1.2646782303040833,1.264572593981776,1.2398262994189748,0.07866453122915142,0.05457216727676644,0.054484094174297996,0.05420440294411556,,,
ggHH_kl_5_kt_1_HHbbVV,1.3326632776423553,1.3326632776423553,1.3326632776423553,1.3324796079223353,1.3322927686557362,1.3141218846645717,0.05678855275527768,0.03961289933791905,0.039559641817554586,0.03948169494229156,,,
ggHH_kl_0_kt_1_HHbbVV,2.1462080925701774,2.1462080925701774,2.1462080925701774,2.14574120877309,2.1453802117397194,2.1083698397543675,0.13513979421324254,0.09310438095796379,0.09300071007777477,0.09231646922649206,,,
VBFHHbbVV,0.034024377674540085,0.034024377674540085,0.034024377674540085,0.03401878632576567,0.034014078043477246,0.03131369658927419,0.0008038774467686361,0.0005890695621514244,0.0005858285060690498,0.0005797312817193808,,,
qqHH_CV_1_C2V_0_kl_1_HHbbVV,20.76198779204722,20.76198779204722,20.76198779204722,20.760097256521927,20.759327537372858,15.934411885284915,0.4749394317938729,0.3478131071665231,0.3470272203414941,0.34559605920776587,,,
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,34.78860657736119,34.78860657736119,34.78860657736119,34.78501103778664,34.783889362401446,26.909270008178233,0.8347650066475687,0.615702739296969,0.6145411452431042,0.6097645925576611,,,
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.03499528349928152,0.03499528349928152,0.03499528349928152,0.03499348154814317,0.034986891371333685,0.03363164118104816,0.0005850373623248932,0.0004027683724429215,0.0004026269771550744,0.00039638729824630076,,,
qqHH_CV_1_C2V_2_kl_1_HHbbVV,18.901746176077005,18.901746176077005,18.901746176077005,18.899812612265276,18.89899725944025,14.385528485110507,0.42629643207604406,0.3147292726771074,0.3139689692424358,0.3124829380037957,,,
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.08890353276162892,0.08890353276162892,0.08890353276162892,0.08889022380899324,0.08886420846200346,0.0792519805281152,0.0028671049026505655,0.002077139950393387,0.002070034014504768,0.002044875320200836,,,
QCD,1117757.9198795073,1251971.716351885,1251971.716351885,1251682.6046422862,1251519.0665727286,1251501.1215639107,65.77882866050395,10.206304916224619,10.206304916224619,10.206304916224619,,,
TT,114729.52068857195,114729.52068857195,114729.52068857195,114706.15876300249,114683.14121694586,114677.34242114387,20.007718794419674,4.158011250140374,3.4926995718987066,3.465546489973438,,,
ST,9991.097357360093,9991.097357360093,9991.097357360093,9989.024577587452,9987.966441260009,9986.639351683845,2.555452530866392,0.6894987125411937,0.6894987125411937,0.6894987125411937,,,
W+Jets,14710.822213085146,14710.822213085146,14710.822213085146,14707.90486347219,14705.855078584122,14704.531024456413,6.253284344696685,0.9837214996422988,0.9837214996422988,0.9837214996422988,,,
Z+Jets,21597.004857058182,21597.004857058182,21597.004857058182,21592.713993914025,21589.977951000445,21589.16297275111,3.334996585936648,1.8194839290879918,1.8194839290879918,1.8194839290879918,,,
Diboson,936.1606241609028,936.1606241609028,936.1606241609028,935.6242769877188,935.6242769877188,935.6242769877188,0.28001420954562,0.0,0.0,0.0,,,
ggFHbb,224.56874142701201,224.56874142701201,224.56874142701201,224.5170485658804,224.45546900141025,224.45546900141025,0.02215841641627536,0.02215841641627536,0.02215841641627536,0.02215841641627536,,,
VBFHbb,66.27722451912622,66.27722451912622,66.27722451912622,66.27546093253595,66.27338743540412,66.24204679905438,0.0,0.0,0.0,0.0,,,
ZHbb,63.465766584473805,63.465766584473805,63.465766584473805,63.45579974544757,63.45287399754096,63.45150214718048,0.009815393883382567,0.0029048028886019396,0.0029048028886019396,0.0029048028886019396,,,
WHbb,108.86564442012758,108.86564442012758,108.86564442012758,108.84087638332325,108.83414264832638,108.82744940412239,0.024805120364065097,0.01842566878389719,0.01842566878389719,0.01842566878389719,,,
ggZHbb,9.5080271296301,9.5080271296301,9.5080271296301,9.505625210234324,9.504521809114898,9.504278141866259,0.0008216839630774777,0.0005522268505756501,0.0005522268505756501,0.0005522268505756501,,,
ttHbb,312.2634270090423,312.2634270090423,312.2634270090423,312.18019451465693,312.12908216023584,312.12029650264253,0.08527777147263668,0.0324410305888105,0.02984061196728441,0.02984061196728441,,,
HWW,150.72907678953348,150.72907678953348,150.72907678953348,150.68815304215195,150.65286062054875,150.37158350006786,0.9216316949060777,0.30013918162005265,0.2975469659924336,0.28723988668748723,,,
Data,1414872.0,1414872.0,1414872.0,,,1414811.0,,48.0,47.0,46.0,1414872.0,1414872.0,186.0
