,Pre-selection,QCD SF,LP SF,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScoreVBF < 0.999,BDTScore >= 0.9965,bbFatJetParticleNetMD_Txbb >= 0.9714,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,1.676130328580837,1.676130328580837,1.676130328580837,1.6712036429905937,1.6670538167650584,1.6381645128552338,0.11021560142909745,0.07763373594536849,0.07751969311886933,0.07704263104351579
ggHH_kl_2p45_kt_1_HHbbVV,1.264909243644536,1.264909243644536,1.264909243644536,1.2618467256927668,1.2597105355923204,1.234982456743876,0.07827969762333203,0.05433401033669019,0.05425368979483512,0.05395913853274123
ggHH_kl_5_kt_1_HHbbVV,1.3326632776423553,1.3326632776423553,1.3326632776423553,1.3290754531862934,1.326456633520162,1.3083312140879724,0.05705120663759753,0.039665201686838965,0.039611944166474504,0.03953399729121149
ggHH_kl_0_kt_1_HHbbVV,2.1462080925701774,2.1462080925701774,2.1462080925701774,2.1397217826630057,2.134657892688486,2.0976897470304836,0.1345579159983134,0.09263248844316053,0.09252881756297152,0.09183995610872037
VBFHHbbVV,0.034024377674540085,0.034024377674540085,0.034024377674540085,0.03392488917746438,0.03385106547434957,0.031154002301841458,0.0008073302200541481,0.0005925742902962944,0.0005893332342139199,0.00057973378313207
qqHH_CV_1_C2V_0_kl_1_HHbbVV,20.76198779204722,20.76198779204722,20.76198779204722,20.740910849479715,20.727007927656505,15.903821261838276,0.4736491123260594,0.3456345396515827,0.34485719815201266,0.3433683462989071
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,34.78860657736119,34.78860657736119,34.78860657736119,34.750944180981556,34.72689350102866,26.854379069958274,0.8319024324241374,0.6128018144813301,0.6116402204274652,0.6068636677420223
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.03499528349928152,0.03499528349928152,0.03499528349928152,0.034883938631222695,0.034828787476897716,0.03347367153144324,0.0005783359887549683,0.000402393600217266,0.0004022522049294189,0.0003960125260206453
qqHH_CV_1_C2V_2_kl_1_HHbbVV,18.901746176077005,18.901746176077005,18.901746176077005,18.88325592507293,18.87195683641766,14.3601842646961,0.42609600731323927,0.31438373339912684,0.3136109217463959,0.31207610653975304
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.08890353276162892,0.08890353276162892,0.08890353276162892,0.08863948905629107,0.08838388941581067,0.07880082229995418,0.002795052645816335,0.0020177158580848412,0.002010609922196223,0.001985451227892291
QCD,1117757.9198795073,1251971.716351885,1251971.716351885,1247814.9781850395,1244750.07933536,1244732.1343265425,75.9755984131705,5.882107270266179,5.882107270266179,5.882107270266179
TT,114729.52068857195,114729.52068857195,114729.52068857195,114375.90267312861,114019.19131760647,114013.39252180453,19.79634960959322,4.007544179564364,3.477317673138396,3.450164591213126
ST,9991.097357360093,9991.097357360093,9991.097357360093,9956.444147193402,9930.244963807756,9928.917874231587,2.554225929286668,0.6894987125411937,0.6894987125411937,0.6894987125411937
W+Jets,14710.822213085146,14710.822213085146,14710.822213085146,14672.491652608198,14641.631954844934,14640.307900717218,6.192862906840954,1.0689774014457376,1.0689774014457376,1.0689774014457376
Z+Jets,21597.004857058182,21597.004857058182,21597.004857058182,21522.694272012075,21479.126831498128,21478.311853248793,3.2081775052990715,1.7698848170027754,1.7698848170027754,1.7698848170027754
Diboson,936.1606241609028,936.1606241609028,936.1606241609028,932.3120773317856,930.6761200627391,930.6761200627391,0.28001420954562,0.0,0.0,0.0
ggFHbb,224.56874142701201,224.56874142701201,224.56874142701201,224.09132954605533,223.5656191986538,223.5656191986538,0.02215841641627536,0.02215841641627536,0.02215841641627536,0.02215841641627536
VBFHbb,66.27722451912622,66.27722451912622,66.27722451912622,66.16198883813554,66.0249915252132,65.99365088886346,0.0,0.0,0.0,0.0
ZHbb,63.465766584473805,63.465766584473805,63.465766584473805,63.322797344840964,63.235634550720064,63.23426270035958,0.007126967067461129,0.0012476993426627087,0.0012476993426627087,0.0012476993426627087
WHbb,108.86564442012758,108.86564442012758,108.86564442012758,108.63886528171966,108.52664862322723,108.51995537902327,0.028914360903670503,0.020327817444704233,0.020327817444704233,0.020327817444704233
ggZHbb,9.5080271296301,9.5080271296301,9.5080271296301,9.483212575914823,9.46312346044892,9.462879793200281,0.0008216839630774777,0.0005522268505756501,0.0005522268505756501,0.0005522268505756501
ttHbb,312.2634270090423,312.2634270090423,312.2634270090423,311.1744105719533,310.21793216817366,310.2091465105803,0.07933430458812948,0.029360226399230818,0.026759807777704724,0.026759807777704724
HWW,150.72907678953348,150.72907678953348,150.72907678953348,150.22850888691733,149.66583899443282,149.38456187395192,0.9205299928588988,0.29869261922156176,0.2961691576813639,0.28413440388800887
Data,1414872.0,1414872.0,1414872.0,1414872.0,1414872.0,1414811.0,186.0,48.0,47.0,46.0
