,Pre-selection,QCD SF,LP SF,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScoreVBF < 0.999,BDTScore_JMS_down >= 0.9965,bbFatJetParticleNetMD_Txbb >= 0.9714,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,BDTScore >= 0.9965
HHbbVV,1.676130328580837,1.676130328580837,1.676130328580837,1.6712036429905937,1.6670538167650584,1.6381645128552338,0.10962419829057754,0.0769388044272371,0.07682476160073795,0.07634668779611842,
ggHH_kl_2p45_kt_1_HHbbVV,1.264909243644536,1.264909243644536,1.264909243644536,1.2618467256927668,1.2597105355923204,1.234982456743876,0.07830948823543601,0.05438190081590606,0.054301580274050985,0.054011900737236024,
ggHH_kl_5_kt_1_HHbbVV,1.3326632776423553,1.3326632776423553,1.3326632776423553,1.3290754531862934,1.326456633520162,1.3083312140879724,0.056095005679421196,0.03937237278494476,0.03931911526458029,0.03924116838931728,
ggHH_kl_0_kt_1_HHbbVV,2.1462080925701774,2.1462080925701774,2.1462080925701774,2.1397217826630057,2.134657892688486,2.0976897470304836,0.13427091292774507,0.09234011242649023,0.0922364415463012,0.09154758009205008,
VBFHHbbVV,0.034024377674540085,0.034024377674540085,0.034024377674540085,0.03392488917746438,0.03385106547434957,0.031154002301841458,0.000811136205087572,0.0005840279222602406,0.0005807868661778661,0.0005746896418281971,
qqHH_CV_1_C2V_0_kl_1_HHbbVV,20.76198779204722,20.76198779204722,20.76198779204722,20.740910849479715,20.727007927656505,15.903821261838276,0.4721086705372619,0.34447662584077376,0.34365862064557184,0.3421771929556054,
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,34.78860657736119,34.78860657736119,34.78860657736119,34.750944180981556,34.72689350102866,26.854379069958274,0.8292958204658784,0.6100306499605714,0.6088690559067066,0.6040925032212636,
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.03499528349928152,0.03499528349928152,0.03499528349928152,0.034883938631222695,0.034828787476897716,0.03347367153144324,0.0005800534726399232,0.00039583554202925056,0.00039569414674140357,0.0003894544678326299,
qqHH_CV_1_C2V_2_kl_1_HHbbVV,18.901746176077005,18.901746176077005,18.901746176077005,18.88325592507293,18.87195683641766,14.3601842646961,0.4235054830036431,0.31175276325215406,0.31098404641173555,0.30944549304650254,
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.08890353276162892,0.08890353276162892,0.08890353276162892,0.08863948905629107,0.08838388941581067,0.07880082229995418,0.0027792537020695438,0.0020156684417382237,0.0020085625058496055,0.0019834038115456734,
QCD,1117757.9198795073,1251971.716351885,1251971.716351885,1247814.9781850395,1244750.07933536,1244732.1343265425,74.3362532940356,5.882107270266179,5.882107270266179,5.882107270266179,
TT,114729.52068857195,114729.52068857195,114729.52068857195,114375.90267312861,114019.19131760647,114013.39252180453,19.34650680674442,3.931567350956813,3.4642774581945024,3.4371243762692334,
ST,9991.097357360093,9991.097357360093,9991.097357360093,9956.444147193402,9930.244963807756,9928.917874231587,2.6685422714066793,0.8038150546612054,0.8038150546612054,0.8038150546612054,
W+Jets,14710.822213085146,14710.822213085146,14710.822213085146,14672.491652608198,14641.631954844934,14640.307900717218,6.211497210896761,1.087611705501545,1.087611705501545,1.087611705501545,
Z+Jets,21597.004857058182,21597.004857058182,21597.004857058182,21522.694272012075,21479.126831498128,21478.311853248793,3.3993418921280902,1.888564056846305,1.888564056846305,1.888564056846305,
Diboson,936.1606241609028,936.1606241609028,936.1606241609028,932.3120773317856,930.6761200627391,930.6761200627391,0.28001420954562,0.0,0.0,0.0,
ggFHbb,224.56874142701201,224.56874142701201,224.56874142701201,224.09132954605533,223.5656191986538,223.5656191986538,0.02215841641627536,0.02215841641627536,0.02215841641627536,0.02215841641627536,
VBFHbb,66.27722451912622,66.27722451912622,66.27722451912622,66.16198883813554,66.0249915252132,65.99365088886346,0.0,0.0,0.0,0.0,
ZHbb,63.465766584473805,63.465766584473805,63.465766584473805,63.322797344840964,63.235634550720064,63.23426270035958,0.00878407061340036,0.0029048028886019396,0.0029048028886019396,0.0029048028886019396,
WHbb,108.86564442012758,108.86564442012758,108.86564442012758,108.63886528171966,108.52664862322723,108.51995537902327,0.027795840344719647,0.01842566878389719,0.01842566878389719,0.01842566878389719,
ggZHbb,9.5080271296301,9.5080271296301,9.5080271296301,9.483212575914823,9.46312346044892,9.462879793200281,0.0008216839630774777,0.0005522268505756501,0.0005522268505756501,0.0005522268505756501,
ttHbb,312.2634270090423,312.2634270090423,312.2634270090423,311.1744105719533,310.21793216817366,310.2091465105803,0.08281929979168903,0.03214615616401178,0.026759807777704724,0.026759807777704724,
HWW,150.72907678953348,150.72907678953348,150.72907678953348,150.22850888691733,149.66583899443282,149.38456187395192,0.9315335250694633,0.298225742070059,0.2957022805298612,0.2862812350064068,
Data,1414872.0,1414872.0,1414872.0,1414872.0,1414872.0,1414811.0,,48.0,47.0,46.0,186.0
