,Preselection,TriggerEffs,QCD SF,bbFatJetPt ≥ 300,VVFatJetPt ≥ 300,bbFatJetParticleNetMass ≥ 110,bbFatJetParticleNetMass < 145,bbFatJetParticleNetMD_Txbb ≥ 0.987,VVFatJetParTMD_THWWvsT ≥ 0.8
QCD,2297339.82909381,1194346.5658664904,971456.9059734741,968200.2922133142,965807.6452091871,379625.5090633482,205023.63480548962,17938.509642077628,152.61281076382838
TT,139361.71036435151,90162.83808289378,90162.83808289378,89874.47242888014,89593.63713305627,69793.16944464057,22838.763978714007,1531.9776544408617,46.392949605539485
ST,9979.986132619777,6717.596659086394,6717.596659086394,6695.143184192203,6679.164687640505,4381.4214248564485,1639.615815878285,103.6818719852058,3.0868527089678572
V+Jets,63475.58227389368,38860.89721165447,38860.89721165447,38735.5607817707,38656.89023501311,11979.514915126647,6228.115179807095,854.2437252544055,16.0648304608884
Diboson,946.7147595788099,595.6462086965947,595.6462086965947,593.2710364467257,592.303383327502,96.76745711920589,65.59298801476615,15.391219347618037,0.2230576079881538
Hbb,1206.4981538195466,796.5817927037203,796.5817927037203,794.6348344968395,792.8079349118146,671.9771647221243,455.64420436717086,217.0149479567365,3.7420825080713693
HWW,190.62743422319508,134.82416426446022,134.82416426446022,134.12954642810868,133.63953403771396,98.55971847657918,32.40666505784657,2.1981893498637186,0.15310672507596645
HH,8.124620906724427,4.709907226316808,4.709907226316808,4.699923307898517,4.644441923824731,4.084816840930543,3.490113245864904,2.4926428148055573,0.001499964237353455
Data,1108730.0,1108730.0,1108730.0,1108730.0,1108730.0,485812.0,241229.0,19203.0,330.0
X[2200]->H(bb)Y[250](VV),31.827686108731665,31.54969273672145,31.54969273672145,31.54655661075138,31.5436873632481,27.634361182884795,24.67823080796846,14.95702428711168,5.5371156362613
