,Pre-selection,QCD SF,LP SF,bbFatJetPt_JES_down >= 300,VVFatJetPt_JES_down >= 300,BDTScoreVBF < 0.999,BDTScore_JES_down >= 0.9965,bbFatJetParticleNetMD_Txbb >= 0.9737,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore >= 0.9965
HHbbVV,1.108127280079604,1.108127280079604,1.108127280079604,1.0917069850409113,1.0781356268307336,1.0671265098199534,0.055395801293808125,0.03724192867482817,0.03719555528574732,0.03705197998033871,,,
ggHH_kl_2p45_kt_1_HHbbVV,0.8015758690220187,0.8015758690220187,0.8015758690220187,0.7910546533336967,0.7830650557850098,0.7730012873800163,0.03763396371232669,0.02617773519868112,0.026140668070293013,0.026069671263095586,,,
ggHH_kl_5_kt_1_HHbbVV,0.8397792227107982,0.8397792227107982,0.8397792227107982,0.8295842026069971,0.8209061063174796,0.8138840350824709,0.02891315037716234,0.019219959042545566,0.019219959042545566,0.019182389777472927,,,
ggHH_kl_0_kt_1_HHbbVV,1.4337517442784347,1.4337517442784347,1.4337517442784347,1.4101042999942586,1.390663224347363,1.3766554497113392,0.0617490270911685,0.041291563857325755,0.04112928690249917,0.041086495850682664,,,
VBFHHbbVV,0.02157241124523907,0.02157241124523907,0.02157241124523907,0.02130646456807585,0.021064324561273218,0.01976251925824699,0.0004883714071664599,0.00034407421429785934,0.0003420882411851804,0.0003396844806411425,,,
qqHH_CV_1_C2V_0_kl_1_HHbbVV,11.015595087816134,11.015595087816134,11.015595087816134,10.96606943523112,10.92642042184287,8.870362381908905,0.23132628113725112,0.1678089082826572,0.16745250296999714,0.16682198494211495,,,
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,18.523340727906472,18.523340727906472,18.523340727906472,18.42754518001746,18.356068000148724,15.021375234627534,0.3969664330739904,0.28343679805201166,0.2829084565209862,0.2815696279236356,,,
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.021501518954477026,0.021501518954477026,0.021501518954477026,0.02124839594879495,0.021033610058694998,0.020376091990449804,0.00027462087945737275,0.00015363682205397021,0.00015135099574566042,0.00015135099574566042,,,
qqHH_CV_1_C2V_2_kl_1_HHbbVV,9.95063113617899,9.95063113617899,9.95063113617899,9.910018440163697,9.879815192310277,7.935803293178799,0.20444277297246333,0.14766930006558832,0.14731476662537257,0.14678018725051303,,,
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.05626247636667933,0.05626247636667933,0.05626247636667933,0.055519657883855295,0.05485418505523361,0.05102512840824554,0.0013797151406958821,0.0010119957532907808,0.0010119957532907808,0.0009967223492242704,,,
QCD,900603.372757249,1219440.0804636534,1219440.0804636534,1195253.18073095,1177719.865509848,1177712.1484530196,4.7747549543241306,0.0,0.0,0.0,,,
TT,76537.02908224265,76537.02908224265,76537.02908224265,75455.8672753345,74346.61812260182,74343.61910560283,11.650576746884983,2.445273967644682,2.1907556522086424,1.9052888820437042,,,
ST,6617.229257123121,6617.229257123121,6617.229257123121,6513.894336293484,6437.416751030387,6437.153906320804,0.521342597435563,0.0,0.0,0.0,,,
W+Jets,12421.273275458932,12421.273275458932,12421.273275458932,12242.321861551814,12084.680852048914,12083.80409145826,2.165308106630976,0.0,0.0,0.0,,,
Z+Jets,14717.02364266734,14717.02364266734,14717.02364266734,14468.821057932211,14291.993481946272,14291.929340300632,1.134022204854729,0.6844427968765372,0.6844427968765372,0.6844427968765372,,,
Diboson,703.6912877316817,703.6912877316817,703.6912877316817,693.0662177097603,685.7998823459604,685.7998823459604,0.0,0.0,0.0,0.0,,,
ggFHbb,138.81856362723408,138.81856362723408,138.81856362723408,137.1939721773011,135.31119077640614,135.31119077640614,0.0,0.0,0.0,0.0,,,
VBFHbb,40.60062332311162,40.60062332311162,40.60062332311162,40.24272494114581,39.87078912776376,39.87078912776376,0.0,0.0,0.0,0.0,,,
ZHbb,38.56092725636813,38.56092725636813,38.56092725636813,38.05426925581597,37.73628835069991,37.73628835069991,0.005879306153889316,0.005879306153889316,0.005879306153889316,0.005879306153889316,,,
WHbb,66.232275837835,66.232275837835,66.232275837835,65.32166411216625,64.87958091280734,64.87958091280734,0.002068149949222107,0.002068149949222107,0.002068149949222107,0.002068149949222107,,,
ggZHbb,5.921431593700421,5.921431593700421,5.921431593700421,5.849255584936747,5.77720182418215,5.77720182418215,0.00047704591933229177,0.00023700317884601128,0.00023700317884601128,0.00023700317884601128,,,
ttHbb,187.9810602386041,187.9810602386041,187.9810602386041,185.57110999047728,183.10434371442994,183.09817814004964,0.028444815725646493,0.011663187857263104,0.011663187857263104,0.009041270585822214,,,
HWW,97.55810924622651,97.55810924622651,97.55810924622651,96.30840345343226,94.86719745065234,94.74154091069923,0.5645999544917257,0.16783202621925855,0.15447938201025835,0.14946781687728242,,,
Data,1331012.0,1331012.0,1331012.0,,,1330979.0,,22.0,22.0,22.0,1331012.0,1331012.0,119.0
