,Pre-selection,QCD SF,LP SF,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScoreVBF < 0.999,BDTScore_JMR_up >= 0.9965,bbFatJetParticleNetMD_Txbb >= 0.9737,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,BDTScore >= 0.9965
HHbbVV,1.108127280079604,1.108127280079604,1.108127280079604,1.1005594143174928,1.0940812392241102,1.08307212221333,0.049921423862087755,0.033571303176081015,0.03352492978700017,0.0334361373476947,
ggHH_kl_2p45_kt_1_HHbbVV,0.8015758690220187,0.8015758690220187,0.8015758690220187,0.7966181927909652,0.7929251357407407,0.7828613673357473,0.034005003095932344,0.023631256958809667,0.023615896182826134,0.02357080003785085,
ggHH_kl_5_kt_1_HHbbVV,0.8397792227107982,0.8397792227107982,0.8397792227107982,0.8351909835840614,0.8317756967171981,0.8247536254821894,0.026037495449623957,0.017239626302858524,0.017239626302858524,0.017202057037785885,
ggHH_kl_0_kt_1_HHbbVV,1.4337517442784347,1.4337517442784347,1.4337517442784347,1.4226156102926775,1.4129101659183219,1.398793809888987,0.05659823482316927,0.03758565011284769,0.03746443152140487,0.03745203746810525,
VBFHHbbVV,0.02157241124523907,0.02157241124523907,0.02157241124523907,0.021438896099242835,0.021315873451069035,0.020008990803641716,0.000420697946921734,0.00029384133078894537,0.00029185535767626647,0.0002894515971322285,
qqHH_CV_1_C2V_0_kl_1_HHbbVV,11.015595087816134,11.015595087816134,11.015595087816134,10.992704362069707,10.974097162767547,8.916460063834489,0.20195737690098933,0.14755607305897311,0.14718123825303991,0.14651205669726008,
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,18.523340727906472,18.523340727906472,18.523340727906472,18.47731328698665,18.44388166206678,15.107436392492737,0.3489714880534015,0.2525402424226464,0.25198148207339566,0.25064967374698144,
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.021501518954477026,0.021501518954477026,0.021501518954477026,0.021387774292197015,0.02128691499756289,0.02062770227162502,0.00023055086883170652,0.00013578946663111557,0.00013350364032280578,0.00013350364032280578,
qqHH_CV_1_C2V_2_kl_1_HHbbVV,9.95063113617899,9.95063113617899,9.95063113617899,9.931050331915193,9.916982995696745,7.971840826643981,0.17973489288723835,0.1294046881514585,0.12905751768555151,0.1285244109960303,
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.05626247636667933,0.05626247636667933,0.05626247636667933,0.05592359011921978,0.05559233902875846,0.05173424745400412,0.0011653884842349285,0.0008445265224795656,0.0008445265224795656,0.0008292531184130553,
QCD,900603.372757249,1219440.0804636534,1219440.0804636534,1208187.047601593,1199914.6854996895,1199906.968442861,27.50951658928744,15.986543583216285,15.986543583216285,15.986543583216285,
TT,76537.02908224265,76537.02908224265,76537.02908224265,76036.67089183381,75504.25522211792,75501.22743606972,12.334734394803151,2.257241834376949,2.089663066298394,1.9029411043448676,
ST,6617.229257123121,6617.229257123121,6617.229257123121,6568.071623368754,6530.558860743446,6530.296016033862,1.20047511384077,0.0,0.0,0.0,
W+Jets,12421.273275458932,12421.273275458932,12421.273275458932,12341.31450378544,12265.115729916284,12264.238969325628,2.045737768978964,0.0,0.0,0.0,
Z+Jets,14717.02364266734,14717.02364266734,14717.02364266734,14601.426751424733,14517.101697865306,14517.037556219659,1.175119196005011,0.6773216773291115,0.6773216773291115,0.6773216773291115,
Diboson,703.6912877316817,703.6912877316817,703.6912877316817,699.1389217855917,695.3097641927543,695.3097641927543,0.0,0.0,0.0,0.0,
ggFHbb,138.81856362723408,138.81856362723408,138.81856362723408,138.12124620347993,137.14696515108136,137.14696515108136,0.0,0.0,0.0,0.0,
VBFHbb,40.60062332311162,40.60062332311162,40.60062332311162,40.47235839402518,40.3369080970762,40.3369080970762,0.0,0.0,0.0,0.0,
ZHbb,38.56092725636813,38.56092725636813,38.56092725636813,38.30734801182328,38.14508043229702,38.14508043229702,0.004092987927437994,0.004092987927437994,0.004092987927437994,0.004092987927437994,
WHbb,66.232275837835,66.232275837835,66.232275837835,65.79568909543664,65.5789510146088,65.5789510146088,0.002068149949222107,0.002068149949222107,0.002068149949222107,0.002068149949222107,
ggZHbb,5.921431593700421,5.921431593700421,5.921431593700421,5.88900772329133,5.855043713430598,5.855043713430598,0.0002400427404862805,0.0,0.0,0.0,
ttHbb,187.9810602386041,187.9810602386041,187.9810602386041,186.85674951555848,185.63841488932138,185.6322493149411,0.032217053556237725,0.01545214944672131,0.01545214944672131,0.01150480287179376,
HWW,97.55810924622651,97.55810924622651,97.55810924622651,97.00857794271565,96.26976864081334,96.14411210086026,0.5110065497510087,0.15036387934060239,0.13935501504439074,0.13329919536480056,
Data,1331012.0,1331012.0,1331012.0,1331012.0,1331012.0,1330979.0,,22.0,22.0,22.0,119.0
