,Pre-selection,QCD SF,LP SF,bbFatJetPt_JER_down >= 300,VVFatJetPt_JER_down >= 300,BDTScoreVBF < 0.999,BDTScore_JER_down >= 0.9965,bbFatJetParticleNetMD_Txbb >= 0.9737,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore >= 0.9965
HHbbVV,1.108127280079604,1.108127280079604,1.108127280079604,1.1007654125568072,1.0943466848718584,1.0833249155042817,0.055908783398892284,0.03767463933327413,0.03761289580495146,0.03746932049954287,,,
ggHH_kl_2p45_kt_1_HHbbVV,0.8015758690220187,0.8015758690220187,0.8015758690220187,0.7966839978476782,0.7929702737652506,0.7828996158094503,0.03806588152192271,0.026348899997560453,0.02632058163289105,0.026260297751472,,,
ggHH_kl_5_kt_1_HHbbVV,0.8397792227107982,0.8397792227107982,0.8397792227107982,0.834916579637446,0.8313931208750229,0.8243710496400143,0.029103797914987448,0.019342389719472775,0.019342389719472775,0.019304820454400136,,,
ggHH_kl_0_kt_1_HHbbVV,1.4337517442784347,1.4337517442784347,1.4337517442784347,1.422734538030712,1.413057483248668,1.3989135381828675,0.06274575147914599,0.04174903513380615,0.041586758178979576,0.041543967127163066,,,
VBFHHbbVV,0.02157241124523907,0.02157241124523907,0.02157241124523907,0.021438601541618647,0.02130944961532647,0.019999519111965406,0.0005017840019058632,0.00034812008668784207,0.00034613411357516317,0.00034373035303112527,,,
qqHH_CV_1_C2V_0_kl_1_HHbbVV,11.015595087816134,11.015595087816134,11.015595087816134,10.993916278669817,10.975351227637582,8.917558905950592,0.2314959001946737,0.16815147842633849,0.16779507311367847,0.16714588467973807,,,
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,18.523340727906472,18.523340727906472,18.523340727906472,18.47778093467595,18.44445480245551,15.107766559092996,0.39885937883640377,0.2854867723626601,0.2849065697580705,0.28344464804629366,,,
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.021501518954477026,0.021501518954477026,0.021501518954477026,0.02138682863811925,0.021273317169623898,0.020614104443686027,0.0002858699579815901,0.0001700037839026012,0.0001677179575942914,0.0001677179575942914,,,
qqHH_CV_1_C2V_2_kl_1_HHbbVV,9.95063113617899,9.95063113617899,9.95063113617899,9.93227980894857,9.91773923265224,7.972427907104576,0.20508337214816086,0.14803898875160051,0.1476763715690122,0.1471132437545418,,,
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.05626247636667933,0.05626247636667933,0.05626247636667933,0.05595921964896841,0.05560877654128435,0.05175319463835259,0.0013876896024665325,0.0010157091325125143,0.0010157091325125143,0.0010004357284460036,,,
QCD,900603.372757249,1219440.0804636534,1219440.0804636534,1208182.4786762223,1200009.3644063028,1200001.6473494745,15.889260257171221,0.0,0.0,0.0,,,
TT,76537.02908224265,76537.02908224265,76537.02908224265,76005.7888408999,75436.82978583084,75433.80199978266,12.000945212337257,2.685103970860551,2.3958737767919462,2.1104070066270086,,,
ST,6617.229257123121,6617.229257123121,6617.229257123121,6566.328361234981,6530.907835704748,6530.644990995166,0.7217616923256962,0.0,0.0,0.0,,,
W+Jets,12421.273275458932,12421.273275458932,12421.273275458932,12339.320639263746,12260.495964100859,12259.619203510203,2.0547880882916325,0.0,0.0,0.0,,,
Z+Jets,14717.02364266734,14717.02364266734,14717.02364266734,14597.661223947085,14510.332852864116,14510.268711218469,1.3586877967717272,0.775468207320707,0.775468207320707,0.775468207320707,,,
Diboson,703.6912877316817,703.6912877316817,703.6912877316817,698.579291598942,694.5916383161529,694.5916383161529,0.0,0.0,0.0,0.0,,,
ggFHbb,138.81856362723408,138.81856362723408,138.81856362723408,138.15554634923888,137.17501694965563,137.17501694965563,0.0,0.0,0.0,0.0,,,
VBFHbb,40.60062332311162,40.60062332311162,40.60062332311162,40.49535934358885,40.33863807551278,40.33863807551278,0.0,0.0,0.0,0.0,,,
ZHbb,38.56092725636813,38.56092725636813,38.56092725636813,38.30942955891692,38.14570716432015,38.14570716432015,0.005879306153889316,0.005879306153889316,0.005879306153889316,0.005879306153889316,,,
WHbb,66.232275837835,66.232275837835,66.232275837835,65.79959420574862,65.60151072204596,65.60151072204596,0.002068149949222107,0.002068149949222107,0.002068149949222107,0.002068149949222107,,,
ggZHbb,5.921431593700421,5.921431593700421,5.921431593700421,5.889087636165095,5.8513654951795635,5.8513654951795635,0.00023700317884601128,0.00023700317884601128,0.00023700317884601128,0.00023700317884601128,,,
ttHbb,187.9810602386041,187.9810602386041,187.9810602386041,186.82068755865188,185.52754103860983,185.52137546422952,0.031127591261233614,0.011663187857263104,0.011663187857263104,0.009041270585822214,,,
HWW,97.55810924622651,97.55810924622651,97.55810924622651,96.95233954850245,96.16828112430852,96.04262458435541,0.5632134587306745,0.16637105848812184,0.15301841427912163,0.14800684914614576,,,
Data,1331012.0,1331012.0,1331012.0,,,1330979.0,,22.0,22.0,22.0,1331012.0,1331012.0,119.0
