,Pre-selection,TriggerEffs,QCD SF,LP SF,bbFatJetPt ≥ 300,VVFatJetPt ≥ 300,BDTScore_JMR_up ≥ 0.998,bbFatJetParticleNetMD_Txbb ≥ 0.9734,BDTScore ≥ 0.998
HHbbVV,4.195008340515057,1.9850190976132749,1.9850190976132749,1.9850190976132749,1.9790901153021438,1.9741353376747495,0.13303824301394698,0.09072657863794423,
QCD,3048446.9999554865,1299994.2424323014,1390671.9664265167,1390671.9664265167,1385454.619714917,1381545.5391913892,52.42854618339486,13.0090555896497,
TT,193771.92446254156,108971.33199740764,108971.33199740764,108971.33199740764,108596.03805506787,108188.94416321091,25.31226015954783,4.333702470250574,
ST,13841.807461920154,8207.352255699509,8207.352255699509,8207.352255699509,8173.542421368004,8153.934084007797,2.6768527208493156,0.16395765685375768,
V+Jets,85738.12281680925,44939.42374107139,44939.42374107139,44939.42374107139,44778.32337141719,44666.99864531666,11.089809852471758,3.8378397950641294,
Diboson,1314.1944037157127,717.9255793045147,717.9255793045147,717.9255793045147,715.766317507949,713.451753186686,0.0,0.0,
Data,1553508.0,1553508.0,1553508.0,1553508.0,1553508.0,1553508.0,,37.0,164.0
