,Pre-selection,TriggerEffs,QCD SF,LP SF,bbFatJetPt_JES_down ≥ 300,VVFatJetPt_JES_down ≥ 300,bbFatJetParticleNetMD_Txbb ≥ 0.8,bbFatJetParticleNetMD_Txbb < 0.9734,bbFatJetPt ≥ 300,VVFatJetPt ≥ 300
HHbbVV,4.195008340515057,1.9850190976132749,1.9850190976132749,1.9850190976132749,1.9719867320714408,1.9620534006310506,1.9620534006310506,0.6483026407916215,,
QCD,3048446.9999554865,1299994.2424323014,1390671.9664265167,1390671.9664265167,1379735.9957377834,1371337.4170357578,1371337.4170357578,1103295.0934687785,,
TT,193771.92446254156,108971.33199740764,108971.33199740764,108971.33199740764,108206.36110024157,107369.22111243442,107369.22111243442,86911.83566009325,,
ST,13841.807461920154,8207.352255699509,8207.352255699509,8207.352255699509,8138.289590959531,8099.425361682121,8099.425361682121,6633.777841565993,,
V+Jets,85738.12281680925,44939.42374107139,44939.42374107139,44939.42374107139,44605.648242905925,44374.51295319917,44374.51295319917,30252.106110662036,,
Diboson,1314.1944037157127,717.9255793045147,717.9255793045147,717.9255793045147,712.4299807768616,707.8092899569892,707.8092899569892,414.53891251093796,,
Data,1553508.0,1553508.0,1553508.0,1553508.0,,,1553508.0,1278219.0,1553508.0,1553508.0
