,Pre-selection,QCD SF,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore >= 0.994,bbFatJetParticleNetMD_Txbb >= 0.9734,BDTScoreVBF < 0.999 or bbFatJetParticleNetMD_Txbb < 0.988,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
HHbbVV,1.706591057896172,1.706591057896172,1.7015566173379557,1.6972136772823412,0.20667132168451266,0.14114841348286528,0.12533418350620265,0.12511419098440468,0.12464351850327647
QCD,1126208.5372077704,1204990.9790546382,1200602.6007629426,1197348.6443478006,144.35107814290063,25.320271658871498,24.65208824758526,24.65208824758526,24.65208824758526
TT,126178.01663528237,126178.01663528237,125736.76451680924,125277.36730359304,61.44060489485426,10.853743415754376,10.853743415754376,9.68801156971052,8.803925955686795
ST,11213.018738828063,11213.018738828063,11169.638460634647,11140.701326371089,5.499971916709747,1.5516760602900406,1.5516760602900406,1.535342360308218,1.535342360308218
W+Jets,15930.077126498532,15930.077126498532,15879.105249841276,15839.028146450515,14.363035744268458,3.8513502398813118,3.7313923153961004,3.7313923153961004,3.7313923153961004
Z+Jets,22772.15825578505,22772.15825578505,22686.559702053375,22632.448203335458,8.742021116270035,3.034600751528189,3.034600751528189,3.034600751528189,3.034600751528189
Diboson,1008.665041486354,1008.665041486354,1005.7273485190779,1002.5646524206695,0.0,0.0,0.0,0.0,0.0
ggFHbb,223.1087799478259,223.1087799478259,222.70977922577623,221.84267517383097,0.033456804525291706,0.0018852928053611903,0.0018852928053611903,0.0018852928053611903,0.0018852928053611903
VBFHbb,71.28205035333777,71.28205035333777,71.07985098566151,70.91620020246836,0.0,0.0,0.0,0.0,0.0
ZHbb,67.12062616739404,67.12062616739404,66.94564806851947,66.83746928536593,0.01820748622605914,0.01588486812092205,0.013193474354051986,0.013193474354051986,0.013193474354051986
WHbb,116.35029311753367,116.35029311753367,116.05038178984395,115.9228032874135,0.057365085001269044,0.03462059952845231,0.03340909212152154,0.03340909212152154,0.03340909212152154
ggZHbb,10.311005316400479,10.311005316400479,10.281565783116413,10.257879490979624,0.003420691858476735,0.0026555977954472823,0.0023400886512921337,0.0023400886512921337,0.0023400886512921337
ttHbb,354.83801865944884,354.83801865944884,353.44976648602244,352.0183047201511,0.1799874582358042,0.06234466367693364,0.06234466367693364,0.05959218045818373,0.05511751924843435
HWW,172.07437391871363,172.07437391871363,171.42603695737873,170.6479795943025,2.195863202028565,0.5453318548183053,0.4990845038895099,0.4667121246467227,0.4470472899580378
Data,1383108.0,1383108.0,1383108.0,1383108.0,472.0,96.0,95.0,93.0,92.0
