,Pre-selection,QCD SF,bbFatJetPt_JER_down >= 350,VVFatJetPt_JER_down >= 350,bbFatJetPt_JER_down >= 400 or VVFatJetPt_JER_down >= 400,92.5 ≤ bbFatJetParticleNetMass < 110 or 145 ≤ bbFatJetParticleNetMass < 162.5,bbFatJetParticleNetMD_Txbb >= 0.987,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
QCD,1117757.9198795077,1251971.8257647846,1096823.3648627643,1008913.1976229508,943765.3420225268,206926.1642044488,16798.136314371048,712.535920137637,712.535920137637,712.535920137637,,,
TT,114729.520688572,114729.520688572,102937.09414930944,92452.86171917933,89017.28627421668,20748.118218854313,1343.0151565272831,56.60290202446647,51.08624160094881,48.67885646925011,,,
ST,9991.097357360095,9991.097357360095,8851.86333966262,8151.191801239113,7871.797112112172,1826.4070308104892,128.0003321321096,9.379637700486608,8.565385450082008,8.14599504572189,,,
W+Jets,14710.822213085146,14710.822213085146,13383.822143348041,12404.2214760125,11856.154755280988,2404.779988743764,174.59914807659575,14.959377015381829,14.842641657551418,14.842641657551418,,,
Z+Jets,21597.004857058182,21597.004857058182,19260.917047394778,17896.968070869505,17052.857097503325,6843.424389820166,2379.442471463196,92.3709620502421,92.3709620502421,91.8883634576583,,,
Diboson,936.1606241609029,936.1606241609029,848.6277079107374,801.3643305141766,767.1590774624293,274.91506439647367,102.44337936411853,4.077403909922525,4.077403909922525,4.077403909922525,,,
ggFHbb,224.56874142701201,224.56874142701201,204.27784706506026,184.57541758596614,174.39775354059967,31.958320151478365,13.259233141803508,0.4546909297659163,0.4546909297659163,0.4546909297659163,,,
VBFHbb,66.27722451912622,66.27722451912622,60.60652636866841,56.108538560361204,53.862826031283674,8.604916508889248,3.940394135395605,0.11715557293181124,0.11715557293181124,0.11715557293181124,,,
ZHbb,63.465766584473805,63.465766584473805,57.552859435784285,54.51396998506854,51.86244003540488,11.71817698228043,5.686773510977063,0.19477647416738408,0.19477647416738408,0.19477647416738408,,,
WHbb,108.86564442012758,108.86564442012758,98.33912618522614,94.15321236548372,89.665518131979,15.840793090967876,6.295817644082678,0.47905179402804426,0.47905179402804426,0.47240623762886214,,,
ggZHbb,9.5080271296301,9.5080271296301,8.524747530801806,7.849186618767565,7.554323751664462,1.754264771163422,0.654846565388634,0.024092259889983286,0.024092259889983286,0.024092259889983286,,,
ttHbb,312.2634270090423,312.2634270090423,279.3762636177432,250.23725573372224,244.08128499551196,51.348447873305076,8.507980380896678,0.31620026983599725,0.28599673346661025,0.2598123766359822,,,
HWW,150.6196638895773,150.6196638895773,135.3341495565584,119.2607765244569,116.02818615709796,27.097133464959565,2.6652894464074626,0.6539587965004705,0.634049991191711,0.6195024809185885,,,
Data,1414872.0,1414872.0,,,,256609.0,20628.0,1102.0,1091.0,1083.0,1283242.0,1192162.0,1159898.0
