,Pre-selection,QCD SF,bbFatJetPt_JES_up >= 350,VVFatJetPt_JES_up >= 350,bbFatJetPt_JES_up >= 400 or VVFatJetPt_JES_up >= 400,110 ≤ bbFatJetParticleNetMass < 145,bbFatJetParticleNetMD_Txbb >= 0.987,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
QCD,1117757.9198795077,1251971.8257647846,1105549.59370053,1021329.7516689496,960667.4731143379,208148.6778053101,17694.77574925667,615.7519676559943,615.7519676559943,615.7519676559943,,,
TT,114729.520688572,114729.520688572,103599.74745728384,93619.3003460447,90459.03080824536,21975.906264386464,1420.9988768244798,59.77293840633073,52.38774322196679,50.015531859694285,,,
ST,9991.097357360095,9991.097357360095,8912.732392153413,8241.245864575521,7984.7180717082765,1916.7857920952742,123.62028485244886,7.688812792353817,7.069497871010419,6.883715401606137,,,
W+Jets,14710.822213085146,14710.822213085146,13457.618013566465,12524.789518194004,12021.64481310384,1758.9839522516854,109.16784994745808,11.300586487717153,11.175478102933946,11.078765892594053,,,
Z+Jets,21597.004857058182,21597.004857058182,19400.58851275338,18095.476586413675,17312.991950153075,2891.65164597338,514.7205435100875,23.123533735838155,22.97887937657699,22.97887937657699,,,
Diboson,936.1606241609029,936.1606241609029,854.0576235376294,808.9537912480199,777.1374693034588,85.14395897207987,20.611755323152355,0.8434079834187398,0.8434079834187398,0.8434079834187398,,,
ggFHbb,224.56874142701201,224.56874142701201,205.7732416903081,186.84217323885284,177.35265561665736,131.00644730395837,68.15934883037525,2.0293876118462375,2.0293876118462375,2.0059551042658943,,,
VBFHbb,66.27722451912622,66.27722451912622,60.98406856544045,56.74996505823215,54.675112016044,42.436315634450736,23.675010326833206,0.8655773041025389,0.8655773041025389,0.8655773041025389,,,
ZHbb,63.465766584473805,63.465766584473805,57.940243991699205,55.02203318462641,52.61910730778478,33.53437771851798,18.1483584072423,1.0596259849697898,1.058229865113522,1.0533382211593532,,,
WHbb,108.86564442012758,108.86564442012758,98.98339434176201,94.9793552018583,90.88833922234261,65.66578494391014,33.98084994720458,2.8628900751283113,2.8616080680315417,2.850679892636156,,,
ggZHbb,9.5080271296301,9.5080271296301,8.57626932635681,7.9288841785111615,7.653663143159653,4.06039147505151,1.927283208217803,0.08628817536697914,0.08628817536697914,0.08568496276772383,,,
ttHbb,312.2634270090423,312.2634270090423,281.02384923469947,253.23244305144075,247.58797473486015,86.9652877520483,28.38968560894818,1.2980077191527997,1.1882182104777423,1.0741835392087582,,,
HWW,150.6196638895773,150.6196638895773,136.159076295388,120.83599124728971,117.84837269088797,26.983141881838122,1.7331079552316184,0.2330146078603627,0.21160332362786843,0.19646349599929536,,,
Data,1414872.0,1414872.0,,,,252182.0,19780.0,1022.0,1012.0,997.0,1283242.0,1192162.0,1159898.0
