,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,92.5 ≤ bbFatJetParticleNetMass_JMR_up < 110 or 145 ≤ bbFatJetParticleNetMass_JMR_up < 162.5,bbFatJetParticleNetMD_Txbb >= 0.987,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,92.5 ≤ bbFatJetParticleNetMass < 110 or 145 ≤ bbFatJetParticleNetMass < 162.5
QCD,1117757.9198795077,1251971.8257647846,1098408.9023595494,1010236.8676749872,947709.681088436,205996.15543698176,17002.778465449297,643.0206511538038,643.0206511538038,643.0206511538038,
TT,114729.520688572,114729.520688572,103085.86891216143,92659.70922518511,89378.07304915265,21361.630014003687,1420.8819714646133,61.706037032276384,56.24033020339356,53.78469189330814,
ST,9991.097357360095,9991.097357360095,8867.08698913079,8170.691513535748,7904.47953202274,1862.4241883600068,131.29216182305285,8.128783913019127,7.314531662614529,6.494267648830224,
W+Jets,14710.822213085146,14710.822213085146,13394.589550283821,12418.18611519469,11897.62757630882,2525.576691730321,186.66167861953602,14.597996631916928,14.35615288930331,14.259440678963415,
Z+Jets,21597.004857058182,21597.004857058182,19287.348854049622,17921.050512569014,17113.974123725442,6451.059496873683,2210.7845726338296,86.37920636503159,86.37920636503159,86.05174636433543,
Diboson,936.1606241609029,936.1606241609029,850.323432006428,803.2678238320386,770.5642969108982,275.7616213929608,98.47241670151607,5.321131915808019,5.321131915808019,5.321131915808019,
ggFHbb,224.56874142701201,224.56874142701201,204.52591531453214,184.73745133620443,175.0741993755476,38.46537831186017,16.835207977944613,0.6281624105390781,0.6281624105390781,0.6281624105390781,
VBFHbb,66.27722451912622,66.27722451912622,60.650669709985245,56.183367694234164,54.01959242718726,10.891822586532488,5.137181419545639,0.1520570336796976,0.1520570336796976,0.1520570336796976,
ZHbb,63.465766584473805,63.465766584473805,57.61840668016322,54.553219959308485,52.0347955881702,13.123712279365668,6.483305354579093,0.2567261154095264,0.2567261154095264,0.2567261154095264,
WHbb,108.86564442012758,108.86564442012758,98.4369234954809,94.22294850210676,89.9970315382786,18.897308870537167,8.01823829185799,0.5762540651065349,0.5762540651065349,0.567978281883343,
ggZHbb,9.5080271296301,9.5080271296301,8.53572181154264,7.863777393652635,7.581101913872937,1.8791457894667474,0.7215917449600848,0.02567496457849891,0.02567496457849891,0.02567496457849891,
ttHbb,312.2634270090423,312.2634270090423,279.6221042205952,250.6865852932165,244.77390894576516,53.24956147649574,9.374761740560423,0.374926851258196,0.3306846979127452,0.3006474568529296,
HWW,150.6196638895773,150.6196638895773,135.5076930767825,119.54763457870718,116.47209044579594,27.754314305216234,2.621535180955095,0.5991323564301396,0.5832150330748602,0.569975544372539,
Data,1414872.0,1414872.0,1283242.0,1192162.0,1159898.0,,20628.0,1102.0,1091.0,1083.0,256609.0
