,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,92.5 ≤ bbFatJetParticleNetMass < 110 or 145 ≤ bbFatJetParticleNetMass < 162.5,bbFatJetParticleNetMD_Txbb >= 0.987,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
QCD,1117757.9198795077,1251971.8257647846,1098408.9023595494,1010236.8676749872,947709.681088436,207756.54994531762,16860.358346074616,712.535920137637,712.535920137637,712.535920137637
TT,114729.520688572,114729.520688572,103085.86891216143,92659.70922518511,89378.07304915265,20857.76870744137,1350.8443777951816,56.630059289206386,51.04158406696989,48.56437569082897
ST,9991.097357360095,9991.097357360095,8867.08698913079,8170.691513535748,7904.47953202274,1833.8137999484381,128.507700408953,9.379637700486608,8.565385450082008,8.14599504572189
W+Jets,14710.822213085146,14710.822213085146,13394.589550283821,12418.18611519469,11897.62757630882,2417.046211702275,175.22084819854194,14.982898368193599,14.866163010363188,14.866163010363188
Z+Jets,21597.004857058182,21597.004857058182,19287.348854049622,17921.050512569014,17113.974123725442,6874.793330362335,2391.5781421864926,92.78560744575756,92.78560744575756,92.30300885317378
Diboson,936.1606241609029,936.1606241609029,850.323432006428,803.2678238320386,770.5642969108982,276.79120690658556,102.96737189690194,4.216119479967323,4.216119479967323,4.216119479967323
ggFHbb,224.56874142701201,224.56874142701201,204.52591531453214,184.73745133620443,175.0741993755476,32.10601911395226,13.256630259779676,0.4546909297659163,0.4546909297659163,0.4546909297659163
VBFHbb,66.27722451912622,66.27722451912622,60.650669709985245,56.183367694234164,54.01959242718726,8.623483773742603,3.95230261434139,0.11715557293181124,0.11715557293181124,0.11715557293181124
ZHbb,63.465766584473805,63.465766584473805,57.61840668016322,54.553219959308485,52.0347955881702,11.759091174810015,5.710761748634462,0.19652034877963825,0.19652034877963825,0.19652034877963825
WHbb,108.86564442012758,108.86564442012758,98.4369234954809,94.22294850210676,89.9970315382786,15.897470006274304,6.319115194806193,0.48097479246520575,0.48097479246520575,0.47432923606602373
ggZHbb,9.5080271296301,9.5080271296301,8.53572181154264,7.863777393652635,7.581101913872937,1.7629242110046808,0.6591432243550611,0.02444153758986769,0.02444153758986769,0.02444153758986769
ttHbb,312.2634270090423,312.2634270090423,279.6221042205952,250.6865852932165,244.77390894576516,51.530515658551735,8.542641375793977,0.3198089264850744,0.2896053901156873,0.2634210332850594
HWW,150.6196638895773,150.6196638895773,135.5076930767825,119.54763457870718,116.47209044579594,27.219026541193262,2.675699796690469,0.6529673412880534,0.6330585359792938,0.6181515500731825
Data,1414872.0,1414872.0,1283242.0,1192162.0,1159898.0,256609.0,20628.0,1102.0,1091.0,1083.0
