,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,110 ≤ bbFatJetParticleNetMass_JMS_down < 145,bbFatJetParticleNetMD_Txbb >= 0.987,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,110 ≤ bbFatJetParticleNetMass < 145
QCD,1117757.9198795077,1251971.8257647846,1098408.9023595494,1010236.8676749872,947709.681088436,204494.41565422306,17435.02264687791,610.7968049428048,610.7968049428048,610.7968049428048,
TT,114729.520688572,114729.520688572,103085.86891216143,92659.70922518511,89378.07304915265,21943.815211977515,1413.0984554142294,58.636449523823366,51.758253659636935,49.26215439212623,
ST,9991.097357360095,9991.097357360095,8867.08698913079,8170.691513535748,7904.47953202274,1901.5138893592336,123.6313967498098,7.475645350211248,6.85633042886785,6.67054795946357,
W+Jets,14710.822213085146,14710.822213085146,13394.589550283821,12418.18611519469,11897.62757630882,1732.4006021651173,106.95390927942563,11.27247728580447,11.147368901021265,11.050656690681368,
Z+Jets,21597.004857058182,21597.004857058182,19287.348854049622,17921.050512569014,17113.974123725442,2791.8863096187956,479.5809962423167,21.817993624162742,21.67333926490158,21.67333926490158,
Diboson,936.1606241609029,936.1606241609029,850.323432006428,803.2678238320386,770.5642969108982,80.78855032183213,18.43796454895846,0.5773107124024608,0.5773107124024608,0.5773107124024608,
ggFHbb,224.56874142701201,224.56874142701201,204.52591531453214,184.73745133620443,175.0741993755476,130.16637638911834,67.68533887907579,2.0305227883559787,2.0305227883559787,2.007090280775636,
VBFHbb,66.27722451912622,66.27722451912622,60.650669709985245,56.183367694234164,54.01959242718726,42.258316765677485,23.7043875704357,0.8929389561317336,0.8929389561317336,0.8929389561317336,
ZHbb,63.465766584473805,63.465766584473805,57.61840668016322,54.553219959308485,52.0347955881702,33.33105602183172,18.03979239214715,1.0586846669360004,1.0572885470797324,1.052396903125564,
WHbb,108.86564442012758,108.86564442012758,98.4369234954809,94.22294850210676,89.9970315382786,65.55669618241772,33.957514215046174,2.8469135582809244,2.845631551184155,2.834703375788769,
ggZHbb,9.5080271296301,9.5080271296301,8.53572181154264,7.863777393652635,7.581101913872937,4.057769589096728,1.9246492286277024,0.08592559947457792,0.08592559947457792,0.08532238687532262,
ttHbb,312.2634270090423,312.2634270090423,279.6221042205952,250.6865852932165,244.77390894576516,86.94527157058403,28.294705098669766,1.2914541086910383,1.181664600015981,1.0657247189387058,
HWW,150.6196638895773,150.6196638895773,135.5076930767825,119.54763457870718,116.47209044579594,26.84696093764701,1.699454169389845,0.22361898968009192,0.20220770544759764,0.18792801703562362,
Data,1414872.0,1414872.0,1283242.0,1192162.0,1159898.0,,19780.0,1022.0,1012.0,997.0,252182.0
