,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,110 ≤ bbFatJetParticleNetMass_JMR_up < 145,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.987,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,110 ≤ bbFatJetParticleNetMass < 145
QCD,1117757.9198795077,1251971.8257647846,1098408.9023595494,1010236.8676749872,947709.681088436,204740.94396831852,187371.32799582748,181544.95424405797,181256.75125601576,180363.96395707226,
TT,114729.520688572,114729.520688572,103085.86891216143,92659.70922518511,89378.07304915265,21813.285426109134,20413.43874026869,19440.42055550349,16624.796087442337,14867.509821780928,
ST,9991.097357360095,9991.097357360095,8867.08698913079,8170.691513535748,7904.47953202274,1896.8086904025358,1773.3678778803667,1663.695172957805,1461.994302753832,1327.2493575264489,
W+Jets,14710.822213085146,14710.822213085146,13394.589550283821,12418.18611519469,11897.62757630882,1746.252672307316,1636.878686789134,1508.8469988833444,1504.3184184677016,1498.1849019228343,
Z+Jets,21597.004857058182,21597.004857058182,19287.348854049622,17921.050512569014,17113.974123725442,3049.7563055673545,2447.7387114118224,2335.6831028606694,2329.6165682706205,2310.8309708221727,
Diboson,936.1606241609029,936.1606241609029,850.323432006428,803.2678238320386,770.5642969108982,91.69845861920103,67.81511872774998,64.73905407986933,61.59814676302072,57.36852528472869,
ggFHbb,224.56874142701201,224.56874142701201,204.52591531453214,184.73745133620443,175.0741993755476,121.16692900799694,58.26292926086629,56.81983556530243,56.69634238151769,56.45355604587439,
VBFHbb,66.27722451912622,66.27722451912622,60.650669709985245,56.183367694234164,54.01959242718726,39.332293990041094,17.338072935541433,16.854833116622416,16.828117876612254,16.65637911744526,
ZHbb,63.465766584473805,63.465766584473805,57.61840668016322,54.553219959308485,52.0347955881702,31.28550204805748,14.390642420401015,13.592486324877067,13.567031470479831,13.452939684158913,
WHbb,108.86564442012758,108.86564442012758,98.4369234954809,94.22294850210676,89.9970315382786,61.20924207520538,29.627690867280457,27.275758286432264,27.2170542062566,27.06081237221194,
ggZHbb,9.5080271296301,9.5080271296301,8.53572181154264,7.863777393652635,7.581101913872937,3.81891606508702,2.012949315073677,1.9277737529124337,1.9204619436693458,1.9032736868777886,
ttHbb,312.2634270090423,312.2634270090423,279.6221042205952,250.6865852932165,244.77390894576516,83.85208764126786,57.10693951040355,54.54424926258106,46.81833973929842,40.608306040352225,
HWW,150.6196638895773,150.6196638895773,135.5076930767825,119.54763457870718,116.47209044579594,26.74949449644118,25.001655296747447,22.08619384305952,17.41683787027718,14.290916503373849,
Data,1414872.0,1414872.0,1283242.0,1192162.0,1159898.0,,232402.0,220694.0,216722.0,213592.0,252182.0
