,Pre-selection,QCD SF,bbFatJetPt_JES_up >= 350,VVFatJetPt_JES_up >= 350,bbFatJetPt_JES_up >= 400 or VVFatJetPt_JES_up >= 400,92.5 ≤ bbFatJetParticleNetMass < 110 or 145 ≤ bbFatJetParticleNetMass < 162.5,bbFatJetParticleNetMD_Txbb >= 0.987,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
QCD,1117757.9198795077,1251971.8257647846,1105549.59370053,1021329.7516689496,960667.4731143379,210525.4698091174,17054.331831376723,715.0343154022272,715.0343154022272,715.0343154022272,,,
TT,114729.520688572,114729.520688572,103599.74745728384,93619.3003460447,90459.03080824536,21162.215422147954,1370.1581224247193,57.41447986194165,51.64578788974069,49.16857951359977,,,
ST,9991.097357360095,9991.097357360095,8912.732392153413,8241.245864575521,7984.7180717082765,1855.7583207891419,129.31609557242098,9.379637700486608,8.565385450082008,8.14599504572189,,,
W+Jets,14710.822213085146,14710.822213085146,13457.618013566465,12524.789518194004,12021.64481310384,2444.7244211402344,176.85566104987345,15.164577419676236,15.047842061845826,15.047842061845826,,,
Z+Jets,21597.004857058182,21597.004857058182,19400.58851275338,18095.476586413675,17312.991950153075,6958.42612725041,2418.4533818800624,94.0286213834548,94.0286213834548,93.54602279087102,,,
Diboson,936.1606241609029,936.1606241609029,854.0576235376294,808.9537912480199,777.1374693034588,278.9258587430126,103.3474209833116,4.216119479967323,4.216119479967323,4.216119479967323,,,
ggFHbb,224.56874142701201,224.56874142701201,205.7732416903081,186.84217323885284,177.35265561665736,32.551918709382576,13.43161826059806,0.4546909297659163,0.4546909297659163,0.4546909297659163,,,
VBFHbb,66.27722451912622,66.27722451912622,60.98406856544045,56.74996505823215,54.675112016044,8.747782384013702,4.001029992047424,0.11715557293181124,0.11715557293181124,0.11715557293181124,,,
ZHbb,63.465766584473805,63.465766584473805,57.940243991699205,55.02203318462641,52.61910730778478,11.91122063742738,5.770607760328202,0.20129510997794953,0.20129510997794953,0.20129510997794953,,,
WHbb,108.86564442012758,108.86564442012758,98.98339434176201,94.9793552018583,90.88833922234261,16.07520329290697,6.390117429920945,0.48818728182259963,0.48818728182259963,0.4815417254234175,,,
ggZHbb,9.5080271296301,9.5080271296301,8.57626932635681,7.9288841785111615,7.653663143159653,1.7818431403837687,0.6679015312714193,0.02483109891399541,0.02483109891399541,0.02483109891399541,,,
ttHbb,312.2634270090423,312.2634270090423,281.02384923469947,253.23244305144075,247.58797473486015,52.226307668938695,8.643257108643308,0.3198089264850744,0.2896053901156873,0.2634210332850594,,,
HWW,150.6196638895773,150.6196638895773,136.159076295388,120.83599124728971,117.84837269088797,27.586932119985757,2.716747157825667,0.660544301971562,0.6406354966628024,0.625728510756691,,,
Data,1414872.0,1414872.0,,,,256609.0,20628.0,1102.0,1091.0,1083.0,1283242.0,1192162.0,1159898.0
