,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,110 ≤ bbFatJetParticleNetMass_JMS_up < 145,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.987,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,110 ≤ bbFatJetParticleNetMass < 145
QCD,1117757.9198795077,1251971.8257647846,1098408.9023595494,1010236.8676749872,947709.681088436,205804.01381399724,188452.02624972482,182482.6936619643,182182.495962527,181299.4339893062,
TT,114729.520688572,114729.520688572,103085.86891216143,92659.70922518511,89378.07304915265,21342.477439676135,19965.322496927485,19015.88100908309,16218.610710313304,14525.216600148455,
ST,9991.097357360095,9991.097357360095,8867.08698913079,8170.691513535748,7904.47953202274,1864.5491452701197,1742.4848675498115,1634.8741766056378,1434.6201141218642,1304.2532455891737,
W+Jets,14710.822213085146,14710.822213085146,13394.589550283821,12418.18611519469,11897.62757630882,1750.5634507390264,1641.3086918957194,1511.2269788753902,1506.752040817173,1500.679994690232,
Z+Jets,21597.004857058182,21597.004857058182,19287.348854049622,17921.050512569014,17113.974123725442,2920.427478374368,2381.9894545558504,2274.453493801474,2268.2406801331063,2250.118395622435,
Diboson,936.1606241609029,936.1606241609029,850.323432006428,803.2678238320386,770.5642969108982,88.40473645530591,66.57244327121947,63.315978747002795,60.30661614948845,56.46134421093643,
ggFHbb,224.56874142701201,224.56874142701201,204.52591531453214,184.73745133620443,175.0741993755476,128.14785784904834,61.62526593247215,60.05802793517309,59.93453475138837,59.66419267281447,
VBFHbb,66.27722451912622,66.27722451912622,60.650669709985245,56.183367694234164,54.01959242718726,41.8191368242758,18.4020991880111,17.871337939199652,17.83120835679257,17.65592195059245,
ZHbb,63.465766584473805,63.465766584473805,57.61840668016322,54.553219959308485,52.0347955881702,32.88455648913934,15.06552168619639,14.226449216625948,14.19656003503615,14.083739851155649,
WHbb,108.86564442012758,108.86564442012758,98.4369234954809,94.22294850210676,89.9970315382786,64.59689191059121,31.15733525476596,28.664414681377824,28.601289379353855,28.43266286804683,
ggZHbb,9.5080271296301,9.5080271296301,8.53572181154264,7.863777393652635,7.581101913872937,3.9789010757127308,2.091264583744511,2.0012907539067544,1.994087898964878,1.976307491664376,
ttHbb,312.2634270090423,312.2634270090423,279.6221042205952,250.6865852932165,244.77390894576516,84.52765493749934,56.806016909352834,54.268022010498456,46.479116884282014,40.115623492322726,
HWW,150.6196638895773,150.6196638895773,135.5076930767825,119.54763457870718,116.47209044579594,26.29272815363808,24.587655092871564,21.725958138608103,17.086518615989153,14.05114455825558,
Data,1414872.0,1414872.0,1283242.0,1192162.0,1159898.0,,232402.0,220694.0,216722.0,213592.0,252182.0
