,Pre-selection,QCD SF,bbFatJetPt_JER_down >= 350,VVFatJetPt_JER_down >= 350,bbFatJetPt_JER_down >= 400 or VVFatJetPt_JER_down >= 400,92.5 ≤ bbFatJetParticleNetMass < 110 or 145 ≤ bbFatJetParticleNetMass < 162.5,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.987,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
QCD,1117757.9198795077,1251971.8257647846,1096823.3648627643,1008913.1976229508,943765.3420225268,206926.1642044488,190128.0278900778,184316.77674823868,183936.4530820531,183046.698980261,,,
TT,114729.520688572,114729.520688572,102937.09414930944,92452.86171917933,89017.28627421668,20748.118218854313,19405.103062327034,18471.063840925082,16126.656620894963,14422.728908884728,,,
ST,9991.097357360095,9991.097357360095,8851.86333966262,8151.191801239113,7871.797112112172,1826.4070308104892,1698.4066986783791,1603.2726871604245,1435.4514184567765,1296.3874394801585,,,
W+Jets,14710.822213085146,14710.822213085146,13383.822143348041,12404.2214760125,11856.154755280988,2404.779988743764,2230.180840667168,2071.47036621599,2066.0294567096844,2055.693228400559,,,
Z+Jets,21597.004857058182,21597.004857058182,19260.917047394778,17896.968070869505,17052.857097503325,6843.424389820166,4463.981918356969,4277.529045850322,4268.355161339867,4244.718298568326,,,
Diboson,936.1606241609029,936.1606241609029,848.6277079107374,801.3643305141766,767.1590774624293,274.91506439647367,172.47168503235514,166.37550182757923,156.31473659389206,144.59708657877138,,,
ggFHbb,224.56874142701201,224.56874142701201,204.27784706506026,184.57541758596614,174.39775354059967,31.958320151478365,18.699087009674855,18.188914142669805,18.151885870674974,17.968415233774337,,,
VBFHbb,66.27722451912622,66.27722451912622,60.60652636866841,56.108538560361204,53.862826031283674,8.604916508889248,4.664522373493643,4.5781731805347246,4.548595438485753,4.431379042998074,,,
ZHbb,63.465766584473805,63.465766584473805,57.552859435784285,54.51396998506854,51.86244003540488,11.71817698228043,6.031403471303368,5.747879324603044,5.740779725378019,5.656697422384982,,,
WHbb,108.86564442012758,108.86564442012758,98.33912618522614,94.15321236548372,89.665518131979,15.840793090967876,9.544975446885196,8.879992040632523,8.856038280209297,8.770514124704883,,,
ggZHbb,9.5080271296301,9.5080271296301,8.524747530801806,7.849186618767565,7.554323751664462,1.754264771163422,1.0994182057747879,1.0583557229333787,1.0557176243206148,1.0459773026119374,,,
ttHbb,312.2634270090423,312.2634270090423,279.3762636177432,250.23725573372224,244.08128499551196,51.348447873305076,42.8404674924084,41.17862562311789,35.897413224509485,31.39696975159353,,,
HWW,150.6196638895773,150.6196638895773,135.3341495565584,119.2607765244569,116.02818615709796,27.097133464959565,24.4318440185521,21.10671201316632,17.012859367039617,13.99476867518333,,,
Data,1414872.0,1414872.0,,,,256609.0,235981.0,223959.0,220553.0,217416.0,1283242.0,1192162.0,1159898.0
