,Pre-selection,QCD SF,bbFatJetPt_JES_up >= 350,VVFatJetPt_JES_up >= 350,bbFatJetPt_JES_up >= 400 or VVFatJetPt_JES_up >= 400,110 ≤ bbFatJetParticleNetMass < 145,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.987,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
QCD,1117757.9198795077,1251971.8257647846,1105549.59370053,1021329.7516689496,960667.4731143379,208148.6778053101,190453.90205605343,184397.98709745437,184090.36568785307,183209.20392012928,,,
TT,114729.520688572,114729.520688572,103599.74745728384,93619.3003460447,90459.03080824536,21975.906264386464,20554.907387561983,19581.237093856,16702.7279037605,14942.405378655854,,,
ST,9991.097357360095,9991.097357360095,8912.732392153413,8241.245864575521,7984.7180717082765,1916.7857920952742,1793.165507242825,1679.7904428883905,1479.1277584100064,1342.5782264012746,,,
W+Jets,14710.822213085146,14710.822213085146,13457.618013566465,12524.789518194004,12021.64481310384,1758.9839522516854,1649.8161023042273,1517.7945831392162,1512.8715574751595,1506.7869698768081,,,
Z+Jets,21597.004857058182,21597.004857058182,19400.58851275338,18095.476586413675,17312.991950153075,2891.65164597338,2376.931102463292,2268.831988801073,2262.889268440743,2244.661707641139,,,
Diboson,936.1606241609029,936.1606241609029,854.0576235376294,808.9537912480199,777.1374693034588,85.14395897207987,64.53220364892752,61.20727125868515,58.19790866117079,54.35263672261878,,,
ggFHbb,224.56874142701201,224.56874142701201,205.7732416903081,186.84217323885284,177.35265561665736,131.00644730395837,62.8470984735831,61.33160881376436,61.20811562997963,60.891271286727644,,,
VBFHbb,66.27722451912622,66.27722451912622,60.98406856544045,56.74996505823215,54.675112016044,42.436315634450736,18.761305307617537,18.21839234872356,18.17826276631648,18.002976360116357,,,
ZHbb,63.465766584473805,63.465766584473805,57.940243991699205,55.02203318462641,52.61910730778478,33.53437771851798,15.386019311275678,14.523445645975407,14.49242365475774,14.376491918747677,,,
WHbb,108.86564442012758,108.86564442012758,98.98339434176201,94.9793552018583,90.88833922234261,65.66578494391014,31.684934996705564,29.16717517222494,29.103031691917653,28.925869771889165,,,
ggZHbb,9.5080271296301,9.5080271296301,8.57626932635681,7.9288841785111615,7.653663143159653,4.06039147505151,2.1331082668337076,2.0407309332451717,2.033528078303296,2.015913355721138,,,
ttHbb,312.2634270090423,312.2634270090423,281.02384923469947,253.23244305144075,247.58797473486015,86.9652877520483,58.575602143100106,55.96759216856624,47.89860370749443,41.30082170384903,,,
HWW,150.6196638895773,150.6196638895773,136.159076295388,120.83599124728971,117.84837269088797,26.983141881838122,25.250033926606502,22.334932640435024,17.58273869456996,14.46386277303472,,,
Data,1414872.0,1414872.0,,,,252182.0,232402.0,220694.0,216722.0,213592.0,1283242.0,1192162.0,1159898.0
