,Pre-selection,QCD SF,bbFatJetPt_JER_down >= 350,VVFatJetPt_JER_down >= 350,bbFatJetPt_JER_down >= 400 or VVFatJetPt_JER_down >= 400,110 ≤ bbFatJetParticleNetMass < 145,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.987,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
QCD,1117757.9198795077,1251971.8257647846,1096823.3648627643,1008913.1976229508,943765.3420225268,204514.22273609685,187172.7659390348,181279.17311305393,180974.66278608656,180122.7008131318,,,
TT,114729.520688572,114729.520688572,102937.09414930944,92452.86171917933,89017.28627421668,21492.47786929126,20102.108162908895,19150.35907912267,16341.420965824507,14634.76850794873,,,
ST,9991.097357360095,9991.097357360095,8851.86333966262,8151.191801239113,7871.797112112172,1877.1112343788939,1756.532236648997,1645.8977186092056,1448.2918552365475,1314.5913156030783,,,
W+Jets,14710.822213085146,14710.822213085146,13383.822143348041,12404.2214760125,11856.154755280988,1733.5988247030953,1626.0220808676654,1495.2278418881756,1490.4889951030136,1484.5470710055126,,,
Z+Jets,21597.004857058182,21597.004857058182,19260.917047394778,17896.968070869505,17052.857097503325,2843.0328969540033,2337.5218389174734,2231.545895900723,2225.751568942207,2207.5870376395515,,,
Diboson,936.1606241609029,936.1606241609029,848.6277079107374,801.3643305141766,767.1590774624293,83.99695700546147,63.50420874617605,60.24774422195939,57.238381624445026,53.91727326372806,,,
ggFHbb,224.56874142701201,224.56874142701201,204.27784706506026,184.57541758596614,174.39775354059967,128.85552434536388,61.86224533460741,60.36300645305987,60.239513269275136,59.969171190701246,,,
VBFHbb,66.27722451912622,66.27722451912622,60.60652636866841,56.108538560361204,53.862826031283674,41.84401558763025,18.508539624885728,17.986596989220587,17.946467406813504,17.77118100061338,,,
ZHbb,63.465766584473805,63.465766584473805,57.552859435784285,54.51396998506854,51.86244003540488,33.054046159018114,15.149167388581795,14.293271611771532,14.263382430181736,14.149540469576397,,,
WHbb,108.86564442012758,108.86564442012758,98.33912618522614,94.15321236548372,89.665518131979,64.78558358935854,31.19229319236461,28.703880062384847,28.640754760360878,28.4674042507683,,,
ggZHbb,9.5080271296301,9.5080271296301,8.524747530801806,7.849186618767565,7.554323751664462,4.00460692850202,2.1033742978627274,2.012776641564907,2.0055737866230308,1.9879590640408735,,,
ttHbb,312.2634270090423,312.2634270090423,279.3762636177432,250.23725573372224,244.08128499551196,85.43385218561215,57.504846283886394,54.938932334697036,47.04312062910453,40.62128836206062,,,
HWW,150.6196638895773,150.6196638895773,135.3341495565584,119.2607765244569,116.02818615709796,26.408535038001993,24.711399902918945,21.84972803236907,17.20563088854432,14.1716886992712,,,
Data,1414872.0,1414872.0,,,,252182.0,232402.0,220694.0,216722.0,213592.0,1283242.0,1192162.0,1159898.0
