,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,110 ≤ bbFatJetParticleNetMass < 145,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.987,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
QCD,1117757.9198795077,1251971.8257647846,1098408.9023595494,1010236.8676749872,947709.681088436,205297.0202676573,187875.0183600819,181965.9545747753,181658.333165174,180784.29919900405
TT,114729.520688572,114729.520688572,103085.86891216143,92659.70922518511,89378.07304915265,21623.255897789928,20225.156502928334,19266.471312186786,16435.5284686229,14710.429173127633
ST,9991.097357360095,9991.097357360095,8867.08698913079,8170.691513535748,7904.47953202274,1890.978399061242,1768.4087857175043,1656.6481282367474,1457.5359811551484,1323.058949309558
W+Jets,14710.822213085146,14710.822213085146,13394.589550283821,12418.18611519469,11897.62757630882,1740.8031371606867,1632.3538280365797,1501.3444897964232,1496.7115330671074,1490.626945468756
Z+Jets,21597.004857058182,21597.004857058182,19287.348854049622,17921.050512569014,17113.974123725442,2856.2518085390457,2347.4979063930095,2240.67638437269,2234.8284005416053,2216.6638692389506
Diboson,936.1606241609029,936.1606241609029,850.323432006428,803.2678238320386,770.5642969108982,84.52112058329652,64.02837232401109,60.77190779979444,57.76254520228008,53.91727326372806
ggFHbb,224.56874142701201,224.56874142701201,204.52591531453214,184.73745133620443,175.0741993755476,129.4118009817783,62.20592693447536,60.7066880529278,60.58319486914308,60.30102158984569
VBFHbb,66.27722451912622,66.27722451912622,60.650669709985245,56.183367694234164,54.01959242718726,41.971786134669806,18.524368962306056,17.99360771349461,17.95347813108753,17.778191724887407
ZHbb,63.465766584473805,63.465766584473805,57.61840668016322,54.553219959308485,52.0347955881702,33.16881516968525,15.204423733557043,14.347602938869212,14.317713757279412,14.204843695724687
WHbb,108.86564442012758,108.86564442012758,98.4369234954809,94.22294850210676,89.9970315382786,65.03302840574865,31.332444244651583,28.835211917488778,28.772086615464808,28.597636835764714
ggZHbb,9.5080271296301,9.5080271296301,8.53572181154264,7.863777393652635,7.581101913872937,4.018876324096818,2.110009537442246,2.019543762496201,2.012340907554325,1.9947261849721676
ttHbb,312.2634270090423,312.2634270090423,279.6221042205952,250.6865852932165,244.77390894576516,85.7277634959647,57.73262066025926,55.157077956691076,47.21624911738003,40.753166055256564
HWW,150.6196638895773,150.6196638895773,135.5076930767825,119.54763457870718,116.47209044579594,26.57327819158995,24.868550920879418,21.99510536038182,17.31296662420328,14.233132169037653
Data,1414872.0,1414872.0,1283242.0,1192162.0,1159898.0,252182.0,232402.0,220694.0,216722.0,213592.0
