,Pre-selection,QCD SF,bbFatJetPt_JER_down >= 350,VVFatJetPt_JER_down >= 350,bbFatJetPt_JER_down >= 400 or VVFatJetPt_JER_down >= 400,110 ≤ bbFatJetParticleNetMass < 145,bbFatJetParticleNetMD_Txbb >= 0.987,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
QCD,1117757.9198795077,1251971.8257647846,1096823.3648627643,1008913.1976229508,943765.3420225268,204514.22273609685,17341.456797062026,609.7920997768567,609.7920997768567,609.7920997768567,,,
TT,114729.520688572,114729.520688572,102937.09414930944,92452.86171917933,89017.28627421668,21492.47786929126,1390.3697063823674,59.15723885519155,51.93954273009026,49.56733136781776,,,
ST,9991.097357360095,9991.097357360095,8851.86333966262,8151.191801239113,7871.797112112172,1877.1112343788939,120.578997729897,7.273789434873549,6.65447451353015,6.46869204412587,,,
W+Jets,14710.822213085146,14710.822213085146,13383.822143348041,12404.2214760125,11856.154755280988,1733.5988247030953,107.57674383542978,10.814254820252629,10.68914643546942,10.592434225129528,,,
Z+Jets,21597.004857058182,21597.004857058182,19260.917047394778,17896.968070869505,17052.857097503325,2843.0328969540033,505.51105803652933,22.579954889443094,22.435300530181927,22.435300530181927,,,
Diboson,936.1606241609029,936.1606241609029,848.6277079107374,801.3643305141766,767.1590774624293,83.99695700546147,20.492748259285406,0.8434079834187398,0.8434079834187398,0.8434079834187398,,,
ggFHbb,224.56874142701201,224.56874142701201,204.27784706506026,184.57541758596614,174.39775354059967,128.85552434536388,66.99327901075645,2.0164264243649406,2.0164264243649406,1.9929939167845976,,,
VBFHbb,66.27722451912622,66.27722451912622,60.60652636866841,56.108538560361204,53.862826031283674,41.84401558763025,23.335475962744532,0.8655773041025389,0.8655773041025389,0.8655773041025389,,,
ZHbb,63.465766584473805,63.465766584473805,57.552859435784285,54.51396998506854,51.86244003540488,33.054046159018114,17.90487877043632,1.048195657623829,1.046799537767561,1.0419078938133925,,,
WHbb,108.86564442012758,108.86564442012758,98.33912618522614,94.15321236548372,89.665518131979,64.78558358935854,33.593290396993915,2.828976486137672,2.8276944790409027,2.8167663036455166,,,
ggZHbb,9.5080271296301,9.5080271296301,8.524747530801806,7.849186618767565,7.554323751664462,4.00460692850202,1.9012326306392928,0.08452030348829723,0.08452030348829723,0.08391709088904192,,,
ttHbb,312.2634270090423,312.2634270090423,279.3762636177432,250.23725573372224,244.08128499551196,85.43385218561215,27.929005901725755,1.2857391361407209,1.1759496274656636,1.0631320673509925,,,
HWW,150.6196638895773,150.6196638895773,135.3341495565584,119.2607765244569,116.02818615709796,26.408535038001993,1.6971351350830464,0.22549897151568157,0.20408768728318727,0.18894785965461425,,,
Data,1414872.0,1414872.0,,,,252182.0,19780.0,1022.0,1012.0,997.0,1283242.0,1192162.0,1159898.0
