,Pre-selection,Triggers,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,110 ≤ bbFatJetParticleNetMass < 145,bbFatJetParticleNetMD_Txbb >= 0.988,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
X[4000]->H(bb)Y[150](VV),46.90112655512743,46.66038109321307,46.59002412129452,46.54812701134224,46.545063344206056,35.308315200472215,21.953458249088538,14.066052082678725,14.05460401449335,14.020458918400141
QCD,2645905.0003631003,1126208.5372077702,1020554.2275322542,957573.7953546687,929816.0319059747,202835.4801118308,16134.661681544434,548.2751511575341,548.2751511575341,539.3354138418254
TT,224362.17377437017,126178.01663528233,115249.30797961362,105300.80068016888,103574.55218929786,24406.934342661865,1516.0862867122196,62.895245829775455,57.65691975641981,54.94611244904912
ST,19207.43215859856,11213.018738828068,10139.245382361383,9455.75881672,9319.367217913108,2218.1516666290854,136.00576989268473,8.76209608480174,8.0924767939951,7.487386729098214
W+Jets,29824.690392690343,15930.077126498532,14787.432923148239,13939.80342571807,13671.739882108232,1978.4586522724517,115.67046161940547,11.580830904584436,11.404708693261835,11.230469490973135
Z+Jets,44156.96510273168,22772.15825578505,20804.536245281215,19638.241218445477,19229.90900777268,3103.9349914628,516.87070094653,20.719053124953962,20.719053124953962,20.719053124953962
Diboson,1870.503110321401,1008.6650414863541,936.5008831116431,894.2555389224888,877.8634979574781,80.08395618730563,16.616241191471737,0.3455932721345744,0.3455932721345744,0.3455932721345744
ggFHbb,460.86126693767926,223.1087799478259,208.33289156365078,190.65762518901835,185.59936905820666,137.30163450294827,70.6542100619418,2.1092934686929494,2.1092934686929494,2.0745985877495903
VBFHbb,129.15113298722326,71.28205035333777,66.592387452574,62.85331754438323,61.717914287453056,47.991409888874216,26.79156613130327,0.9943920784222061,0.9943920784222061,0.9943920784222061
ZHbb,123.79372397625491,67.12062616739404,62.14235822019102,59.69679599878178,58.402711940732395,37.793882467991374,20.196830132529385,1.2521098690145496,1.2521098690145496,1.246536981145649
WHbb,212.315032224665,116.35029311753367,107.52238123950228,104.0338996028538,101.85295521217375,73.75507817172256,37.9643331832847,3.2696698142707072,3.264950756266556,3.257853261351595
ggZHbb,17.870462479148685,10.311005316400477,9.445825200312884,8.873983845688198,8.728449664449593,4.518411428170684,2.107192315273397,0.10362087403796509,0.10362087403796509,0.10362087403796509
ttHbb,542.4918543042032,354.83801865944884,321.3613198526908,292.57957663629946,289.49602803657683,100.14115102598332,32.38174761292308,1.4572056303635958,1.3024034032566765,1.1567674658255958
HWW,270.5289554692866,172.07437391871366,156.43781012477282,139.5411037699917,137.92819097436129,30.81674066020127,1.764224302632894,0.2544375262318084,0.21619960513916608,0.1732197995564743
