,Pre-selection,Triggers,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,92.5 ≤ bbFatJetParticleNetMass < 110 or 145 ≤ bbFatJetParticleNetMass < 162.5,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.988,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
X[4000]->H(bb)Y[150](VV),46.90112655512743,46.66038109321307,46.59002412129452,46.54812701134224,46.545063344206056,8.286097542580901,2.875875837038742,1.2643489017317675,1.262970109858767,1.2560581580731345
QCD,2645905.0003631003,1126208.5372077702,1020554.2275322542,957573.7953546687,929816.0319059747,204143.71305206526,187835.27631023835,181866.41125853697,181541.02648509855,180680.25751277446
TT,224362.17377437017,126178.01663528233,115249.30797961362,105300.80068016888,103574.55218929786,24108.317052319453,22606.31052877471,21493.381794157296,18839.773633369383,16934.377871977646
ST,19207.43215859856,11213.018738828068,10139.245382361383,9455.75881672,9319.367217913108,2151.9601030370363,2024.8556308039488,1898.615502271291,1708.0052760813799,1547.4450845330157
W+Jets,29824.690392690343,15930.077126498532,14787.432923148239,13939.80342571807,13671.739882108232,2613.743411446351,2425.0072309185134,2252.247820304091,2245.8861963371965,2238.865844251475
Z+Jets,44156.96510273168,22772.15825578505,20804.536245281215,19638.241218445477,19229.90900777268,7398.277771693639,4869.735740285178,4667.726094702266,4655.938768494365,4631.760270333524
Diboson,1870.503110321401,1008.6650414863541,936.5008831116431,894.2555389224888,877.8634979574781,302.07998863513325,195.59209423583246,180.50051679721042,173.0224540052398,165.56809832524195
ggFHbb,460.86126693767926,223.1087799478259,208.33289156365078,190.65762518901835,185.59936905820666,33.67687501109438,20.186728706954803,19.493853587145118,19.391416614042054,19.262508256207603
VBFHbb,129.15113298722326,71.28205035333777,66.592387452574,62.85331754438323,61.717914287453056,9.649882595314663,5.174664066377986,5.01836600255862,4.995988814302704,4.947523318321603
ZHbb,123.79372397625491,67.12062616739404,62.14235822019102,59.69679599878178,58.402711940732395,12.570759325072986,6.5166968335255255,6.263665589061917,6.2545042504626025,6.195693559785122
WHbb,212.315032224665,116.35029311753367,107.52238123950228,104.0338996028538,101.85295521217375,17.751262475053203,10.676931264415783,9.914893912308099,9.882260992439637,9.793455233706984
ggZHbb,17.870462479148685,10.311005316400477,9.445825200312884,8.873983845688198,8.728449664449593,1.9962389740300561,1.2863809256238907,1.2466764268586723,1.2409448524038504,1.2302850393406488
ttHbb,542.4918543042032,354.83801865944884,321.3613198526908,292.57957663629946,289.49602803657683,60.67597155235932,50.75521850648414,48.51144527005089,42.45925765696248,37.09252388412854
HWW,270.5289554692866,172.07437391871366,156.43781012477282,139.5411037699917,137.92819097436129,31.981021331135942,29.221535336065983,25.135275614041625,20.263959581760055,16.68298281560311
