,Pre-selection,QCD SF,LP SF,bbFatJetPt_JER_up >= 300,VVFatJetPt_JER_up >= 300,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9734,bbFatJetPt >= 300,VVFatJetPt >= 300
HHbbVV,1.706591057896172,1.706591057896172,1.706591057896172,1.7013385194247648,1.6968562725452987,0.5616323796229203,,
ggHH_kl_2p45_kt_1_HHbbVV,1.3238501132828857,1.3238501132828857,1.3238501132828857,1.3199485321453277,1.3172305214118927,0.4604170455374531,,
ggHH_kl_5_kt_1_HHbbVV,1.4540657446775804,1.4540657446775804,1.4540657446775804,1.4506590439414464,1.447183638241645,0.656335112177244,,
ggHH_kl_0_kt_1_HHbbVV,2.1525536887480916,2.1525536887480916,2.1525536887480916,2.1449347408091266,2.1396830183260027,0.7180902285800657,,
VBFHHbbVV,0.03938444220488589,0.03938444220488589,0.03938444220488589,0.039239450664272105,0.039121885409098195,0.013881839595821335,,
qqHH_CV_1_C2V_0_kl_1_HHbbVV,25.803125191164327,25.803125191164327,25.803125191164327,25.7706457909178,25.75278049731667,6.877466273678896,,
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,42.97286862414579,42.97286862414579,42.97286862414579,42.91561142064744,42.88083142315535,11.511295817596435,,
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.04105557177629756,0.04105557177629756,0.04105557177629756,0.040881686129010684,0.04077054391692691,0.01994804186436877,,
qqHH_CV_1_C2V_2_kl_1_HHbbVV,23.628855946473465,23.628855946473465,23.628855946473465,23.600937356829764,23.58456212433502,6.290338249114044,,
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.10023448588249756,0.10023448588249756,0.10023448588249756,0.0999103447043077,0.09957660932693446,0.030725307156327233,,
QCD,1126208.5372077704,1203074.9790546377,1203074.9790546377,1198473.3413987968,1194969.036103179,961859.6883137007,,
TT,126178.01663528237,126178.01663528237,126178.01663528237,125746.98835116654,125293.22760802964,101325.98559534259,,
ST,11213.018738828063,11213.018738828063,11213.018738828063,11168.928717403302,11142.405760436903,9153.295190506544,,
W+Jets,15930.077126498532,15930.077126498532,15930.077126498532,15875.910881821987,15834.447832733507,13171.752441725583,,
Z+Jets,22772.15825578505,22772.15825578505,22772.15825578505,22683.690019930553,22627.89307859461,13015.94719027948,,
Diboson,1008.665041486354,1008.665041486354,1008.665041486354,1005.8693429051912,1002.8762851988342,586.8449724538984,,
ggFHbb,223.1087799478259,223.1087799478259,223.1087799478259,222.72256516683834,221.885637181582,73.85557850246693,,
VBFHbb,71.28205035333777,71.28205035333777,71.28205035333777,71.09353616711309,70.92054851701442,21.039388291905816,,
ZHbb,67.12062616739404,67.12062616739404,67.12062616739404,66.91738349689737,66.80075080682559,20.84147570358941,,
WHbb,116.35029311753367,116.35029311753367,116.35029311753367,116.02018260223909,115.8886531559248,39.43341061646057,,
ggZHbb,10.311005316400479,10.311005316400479,10.311005316400479,10.280393102764487,10.256855442553917,4.348260655817542,,
ttHbb,354.83801865944884,354.83801865944884,354.83801865944884,353.41729440378543,352.01734089665155,225.24827457217864,,
HWW,172.07437391871363,172.07437391871363,172.07437391871363,171.4077847036248,170.61905764119348,139.2619927825572,,
Data,1381192.0,1381192.0,1381192.0,,,1136042.0,1381192.0,1381192.0
