,Pre-selection,QCD SF,LP SF,bbFatJetPt_JES_down >= 300,VVFatJetPt_JES_down >= 300,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9734,bbFatJetPt >= 300,VVFatJetPt >= 300
HHbbVV,1.706591057896172,1.706591057896172,1.706591057896172,1.6956488206244413,1.6870219762186835,0.5576064418162486,,
ggHH_kl_2p45_kt_1_HHbbVV,1.3238501132828857,1.3238501132828857,1.3238501132828857,1.3165197593868019,1.3110214829059383,0.45791881757231523,,
ggHH_kl_5_kt_1_HHbbVV,1.4540657446775804,1.4540657446775804,1.4540657446775804,1.4462305900962389,1.4392955507192307,0.652317382427084,,
ggHH_kl_0_kt_1_HHbbVV,2.1525536887480916,2.1525536887480916,2.1525536887480916,2.137570596615636,2.1263297666407253,0.7131568967672767,,
VBFHHbbVV,0.03938444220488589,0.03938444220488589,0.03938444220488589,0.03908003702313971,0.03885051323503232,0.013784367175838664,,
qqHH_CV_1_C2V_0_kl_1_HHbbVV,25.803125191164327,25.803125191164327,25.803125191164327,25.742252257394117,25.704945059660464,6.860909867112294,,
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,42.97286862414579,42.97286862414579,42.97286862414579,42.8629150243242,42.79297341024497,11.480738864191656,,
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.04105557177629756,0.04105557177629756,0.04105557177629756,0.04073303080960986,0.0405174122694524,0.019825698921773525,,
qqHH_CV_1_C2V_2_kl_1_HHbbVV,23.628855946473465,23.628855946473465,23.628855946473465,23.573988818796686,23.541072415448003,6.274631989213376,,
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.10023448588249756,0.10023448588249756,0.10023448588249756,0.09962742189198046,0.09895818332933407,0.03053537074331515,,
QCD,1126208.5372077704,1203074.9790546377,1203074.9790546377,1193679.3830415304,1186604.0691839366,955047.6143284222,,
TT,126178.01663528237,126178.01663528237,126178.01663528237,125277.51309674431,124328.8175008741,100529.65721549584,,
ST,11213.018738828063,11213.018738828063,11213.018738828063,11119.661879992498,11058.864901644467,9082.442629881198,,
W+Jets,15930.077126498532,15930.077126498532,15930.077126498532,15826.798062580072,15744.192115021908,13097.030870784838,,
Z+Jets,22772.15825578505,22772.15825578505,22772.15825578505,22591.343797623595,22477.3522387971,12932.661138642598,,
Diboson,1008.665041486354,1008.665041486354,1008.665041486354,1001.555468829989,995.7367767362746,583.1209416604997,,
ggFHbb,223.1087799478259,223.1087799478259,223.1087799478259,222.20721408699214,220.60052287185852,73.53310451199403,,
VBFHbb,71.28205035333777,71.28205035333777,71.28205035333777,70.93247270180143,70.49767611071601,20.897948573357844,,
ZHbb,67.12062616739404,67.12062616739404,67.12062616739404,66.73802979718431,66.52688948307338,20.72475387121409,,
WHbb,116.35029311753367,116.35029311753367,116.35029311753367,115.70531888025883,115.43919849488618,39.233447332788046,,
ggZHbb,10.311005316400479,10.311005316400479,10.311005316400479,10.25139710473921,10.200185500756241,4.32698056535032,,
ttHbb,354.83801865944884,354.83801865944884,354.83801865944884,351.98243580111443,349.16857078942746,223.33465319369287,,
HWW,172.07437391871363,172.07437391871363,172.07437391871363,170.7911521048616,169.23726416010865,138.07611731548747,,
Data,1381192.0,1381192.0,1381192.0,,,1136042.0,1381192.0,1381192.0
