,Pre-selection,QCD SF,LP SF,bbFatJetPt_JES_up >= 300,VVFatJetPt_JES_up >= 300,BDTScoreVBF < 0.999,BDTScore_JES_up >= 0.9965,bbFatJetParticleNetMD_Txbb >= 0.9734,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore >= 0.9965
HHbbVV,1.706591057896172,1.706591057896172,1.706591057896172,1.7065851517004555,1.706563929098256,1.6716195576922843,0.11571704786921762,0.079933168455146,0.0798130337846757,0.07935511130656143,,,
ggHH_kl_2p45_kt_1_HHbbVV,1.3238501132828857,1.3238501132828857,1.3238501132828857,1.3238260860955682,1.3238113768401185,1.2925601040930808,0.08449983518236467,0.05733117392493986,0.05727498250025221,0.05701197813151776,,,
ggHH_kl_5_kt_1_HHbbVV,1.4540657446775804,1.4540657446775804,1.4540657446775804,1.4539716292322553,1.4539676056039448,1.4285436098631876,0.06528609956917156,0.04466637836359931,0.04466637836359931,0.04449211785104737,,,
ggHH_kl_0_kt_1_HHbbVV,2.1525536887480916,2.1525536887480916,2.1525536887480916,2.1525633184608575,2.1524763726481866,2.1103151144388606,0.14036346423685214,0.0938441467798912,0.09369976909316526,0.09326210624045628,,,
VBFHHbbVV,0.03938444220488589,0.03938444220488589,0.03938444220488589,0.03938017151233662,0.03937996600461599,0.03601835701292331,0.001077871766918152,0.0007217140781552644,0.0007176867753356993,0.0007152484903804458,,,
qqHH_CV_1_C2V_0_kl_1_HHbbVV,25.803125191164327,25.803125191164327,25.803125191164327,25.80277015575159,25.802680847596257,19.594758267163986,0.5879908691411233,0.42816214348036147,0.4274371793113272,0.4260508670632733,,,
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,42.97286862414579,42.97286862414579,42.97286862414579,42.972382254621955,42.97195112150606,32.82130683623523,0.9894696129778017,0.7218316443404639,0.7202021142677172,0.7169188066646474,,,
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.04105557177629756,0.04105557177629756,0.04105557177629756,0.04105557177629756,0.041051515857750465,0.03921628257775698,0.0007283469838502724,0.000520538865162157,0.000520538865162157,0.000520538865162157,,,
qqHH_CV_1_C2V_2_kl_1_HHbbVV,23.628855946473465,23.628855946473465,23.628855946473465,23.628576183635968,23.628432061958964,17.814513565761658,0.5227250775465027,0.3818795944548343,0.38101651267935877,0.3790174170772256,,,
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.10023448588249756,0.10023448588249756,0.10023448588249756,0.10023322280037315,0.10023322280037315,0.08843925374190018,0.0036572460903612617,0.00258612600999173,0.0025847538237325418,0.00258331731587033,,,
QCD,1126208.5372077704,1204990.9790546382,1204990.9790546382,1204968.588130011,1204955.485744056,1204927.431497413,44.846313697648185,4.079153202648582,4.079153202648582,4.079153202648582,,,
TT,126178.01663528237,126178.01663528237,126178.01663528237,126174.28689269017,126170.12612420504,126163.41447663067,28.979099128349368,5.2841711328755325,4.757251402306403,4.254384208915589,,,
ST,11213.018738828063,11213.018738828063,11213.018738828063,11212.048811462337,11211.655393615407,11211.170154591191,2.0680085453407635,0.4839470190346713,0.4839470190346713,0.4839470190346713,,,
W+Jets,15930.077126498532,15930.077126498532,15930.077126498532,15929.567731787893,15929.209710016235,15927.434376240795,6.249212630854482,1.6464452746887623,1.6464452746887623,1.6464452746887623,,,
Z+Jets,22772.15825578505,22772.15825578505,22772.15825578505,22771.53543504107,22770.964652224375,22770.048692290475,2.8218610904221175,1.008789549048907,1.008789549048907,1.008789549048907,,,
Diboson,1008.665041486354,1008.665041486354,1008.665041486354,1008.6552751889706,1008.6552751889706,1008.6552751889706,0.0,0.0,0.0,0.0,,,
ggFHbb,223.1087799478259,223.1087799478259,223.1087799478259,223.1087799478259,223.10648942140045,223.10648942140045,0.033456804525291706,0.0018852928053611903,0.0018852928053611903,0.0018852928053611903,,,
VBFHbb,71.28205035333777,71.28205035333777,71.28205035333777,71.28205035333777,71.28205035333777,71.28205035333777,0.0,0.0,0.0,0.0,,,
ZHbb,67.12062616739404,67.12062616739404,67.12062616739404,67.12052250655093,67.12052250655093,67.11515769832721,0.007923513139116479,0.0028784112656099264,0.0028784112656099264,0.0028784112656099264,,,
WHbb,116.35029311753367,116.35029311753367,116.35029311753367,116.34265009656505,116.33875840971054,116.33467335188246,0.023915765923244365,0.018009634176885832,0.018009634176885832,0.018009634176885832,,,
ggZHbb,10.311005316400479,10.311005316400479,10.311005316400479,10.310920939333991,10.310900618783364,10.310585109639211,0.0020031851421286606,0.0015649664772532357,0.0015649664772532357,0.0015649664772532357,,,
ttHbb,354.83801865944884,354.83801865944884,354.83801865944884,354.82351614889456,354.81594162326763,354.80234924576115,0.07737113842509993,0.023010875369072578,0.020289779484309014,0.01844845102403503,,,
HWW,172.07437391871363,172.07437391871363,172.07437391871363,172.07336962048205,172.06752156096098,171.72225967880283,1.1811416148839962,0.33205830522865004,0.31310297368534085,0.2997392545892669,,,
Data,1383108.0,1383108.0,1383108.0,,,1383039.0,,39.0,37.0,36.0,1383108.0,1383108.0,191.0
