,Pre-selection,QCD SF,LP SF,bbFatJetPt_JER_up >= 300,VVFatJetPt_JER_up >= 300,BDTScoreVBF < 0.999,BDTScore_JER_up >= 0.9965,bbFatJetParticleNetMD_Txbb >= 0.9734,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore >= 0.9965
HHbbVV,1.706591057896172,1.706591057896172,1.706591057896172,1.7013385194247648,1.6968562725452987,1.6619257275358585,0.11552465502849395,0.07973047571197692,0.07961034104150659,0.07916981116223877,,,
ggHH_kl_2p45_kt_1_HHbbVV,1.3238501132828857,1.3238501132828857,1.3238501132828857,1.3199485321453277,1.3172305214118927,1.2859900129192923,0.08389503400013223,0.056908222754343735,0.05684057642736157,0.056610835337162296,,,
ggHH_kl_5_kt_1_HHbbVV,1.4540657446775804,1.4540657446775804,1.4540657446775804,1.4506590439414464,1.447183638241645,1.4217668216431019,0.06460524711614007,0.044167612796083014,0.044167612796083014,0.04399335228353109,,,
ggHH_kl_0_kt_1_HHbbVV,2.1525536887480916,2.1525536887480916,2.1525536887480916,2.1449347408091266,2.1396830183260027,2.0975943707358593,0.1396344180363513,0.09369406032684903,0.09354968264012309,0.09312928420946229,,,
VBFHHbbVV,0.03938444220488589,0.03938444220488589,0.03938444220488589,0.039239450664272105,0.039121885409098195,0.03577618505457606,0.001061656292854072,0.0007240858689244667,0.0007200585661049017,0.000717620281149648,,,
qqHH_CV_1_C2V_0_kl_1_HHbbVV,25.803125191164327,25.803125191164327,25.803125191164327,25.7706457909178,25.75278049731667,19.548235390934384,0.585493976181236,0.4267712231500502,0.42597347315664846,0.4246725649188091,,,
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,42.97286862414579,42.97286862414579,42.97286862414579,42.91561142064744,42.88083142315535,32.73414763495943,0.9846895725568661,0.7162824458440978,0.71464940558294,0.7113660979798703,,,
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.04105557177629756,0.04105557177629756,0.04105557177629756,0.040881686129010684,0.04077054391692691,0.038940118739514584,0.0007140246822689222,0.0005003417163406375,0.0005003417163406375,0.0005003417163406375,,,
qqHH_CV_1_C2V_2_kl_1_HHbbVV,23.628855946473465,23.628855946473465,23.628855946473465,23.600937356829764,23.58456212433502,17.772797371805343,0.518703792068301,0.3783246995604231,0.37745315832698395,0.3753713183924106,,,
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.10023448588249756,0.10023448588249756,0.10023448588249756,0.0999103447043077,0.09957660932693446,0.08779150964528781,0.0036538988968508263,0.002567218909584422,0.0025658467233252336,0.0025658467233252336,,,
QCD,1126208.5372077704,1204990.9790546382,1204990.9790546382,1200382.012896498,1196872.1266944017,1196844.072447758,51.40556493724043,4.079153202648582,4.079153202648582,4.079153202648582,,,
TT,126178.01663528237,126178.01663528237,126178.01663528237,125746.98835116654,125293.22760802964,125286.51596045529,28.29387614218194,5.659004627930681,5.0491875186663195,4.546320325275504,,,
ST,11213.018738828063,11213.018738828063,11213.018738828063,11168.928717403302,11142.405760436903,11141.920521412683,2.0785106617081315,0.49342328339902114,0.49342328339902114,0.49342328339902114,,,
W+Jets,15930.077126498532,15930.077126498532,15930.077126498532,15875.910881821987,15834.447832733507,15832.672498958065,6.2661223329360825,1.8145731338052624,1.8145731338052624,1.8145731338052624,,,
Z+Jets,22772.15825578505,22772.15825578505,22772.15825578505,22683.690019930553,22627.89307859461,22626.977118660707,2.835289431074001,1.0486777947236894,1.0486777947236894,1.0486777947236894,,,
Diboson,1008.665041486354,1008.665041486354,1008.665041486354,1005.8693429051912,1002.8762851988342,1002.8762851988342,0.0,0.0,0.0,0.0,,,
ggFHbb,223.1087799478259,223.1087799478259,223.1087799478259,222.72256516683834,221.885637181582,221.885637181582,0.033456804525291706,0.0018852928053611903,0.0018852928053611903,0.0018852928053611903,,,
VBFHbb,71.28205035333777,71.28205035333777,71.28205035333777,71.09353616711309,70.92054851701442,70.92054851701442,0.0,0.0,0.0,0.0,,,
ZHbb,67.12062616739404,67.12062616739404,67.12062616739404,66.91738349689737,66.80075080682559,66.79538599860187,0.006737574110615981,0.001692472237109429,0.001692472237109429,0.001692472237109429,,,
WHbb,116.35029311753367,116.35029311753367,116.35029311753367,116.02018260223909,115.8886531559248,115.8845680980967,0.02386035947480393,0.017954227728445397,0.017954227728445397,0.017954227728445397,,,
ggZHbb,10.311005316400479,10.311005316400479,10.311005316400479,10.280393102764487,10.256855442553917,10.256539933409762,0.001998994069992338,0.0015649664772532357,0.0015649664772532357,0.0015649664772532357,,,
ttHbb,354.83801865944884,354.83801865944884,354.83801865944884,353.41729440378543,352.01734089665155,352.00374851914523,0.07744334188341888,0.025646936383928697,0.023110317913657225,0.02126898945338324,,,
HWW,172.07437391871363,172.07437391871363,172.07437391871363,171.4077847036248,170.61905764119348,170.2737957590353,1.1539610092050385,0.3123751996817964,0.30510607775613496,0.29174235866006104,,,
Data,1383108.0,1383108.0,1383108.0,,,1383039.0,,39.0,37.0,36.0,1383108.0,1383108.0,191.0
