,Pre-selection,QCD SF,LP SF,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScoreVBF < 0.999,BDTScore_JMS_up >= 0.9965,bbFatJetParticleNetMD_Txbb >= 0.9734,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,BDTScore >= 0.9965
HHbbVV,1.706591057896172,1.706591057896172,1.706591057896172,1.7015566173379557,1.6972136772823412,1.6622831322729013,0.11600821820998607,0.07980663990000939,0.079657038687187,0.07922559088244441,
ggHH_kl_2p45_kt_1_HHbbVV,1.3238501132828857,1.3238501132828857,1.3238501132828857,1.320268693885609,1.317661563936538,1.2864260111435208,0.08394784080373087,0.056951367961956725,0.05688372163497454,0.05664273485247236,
ggHH_kl_5_kt_1_HHbbVV,1.4540657446775804,1.4540657446775804,1.4540657446775804,1.4509117411902488,1.4474730227963224,1.4220562061977793,0.06475008747471697,0.0445501622268927,0.0445501622268927,0.04437590171434077,
ggHH_kl_0_kt_1_HHbbVV,2.1525536887480916,2.1525536887480916,2.1525536887480916,2.1452512033910387,2.140229256085729,2.0980696369206164,0.1406370662661484,0.09453448010757079,0.09439010242084485,0.09397184981286058,
VBFHHbbVV,0.03938444220488589,0.03938444220488589,0.03938444220488589,0.0392446647475824,0.0391236948975489,0.0357724273988926,0.001061145889588269,0.0007215859313574077,0.0007175586285378426,0.0007151203435825891,
qqHH_CV_1_C2V_0_kl_1_HHbbVV,25.803125191164327,25.803125191164327,25.803125191164327,25.774035901931246,25.75627430229965,19.55114855539726,0.5916277374357751,0.43171605332919205,0.4309183033357902,0.4296775939932543,
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,42.97286862414579,42.97286862414579,42.97286862414579,42.92006974864868,42.88501620424844,32.737757871645684,1.00000451377216,0.7282011747036982,0.7266566084285393,0.723281440023188,
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.04105557177629756,0.04105557177629756,0.04105557177629756,0.04090476204464955,0.0407915993104881,0.03895795325594884,0.0007245558842244952,0.0005140909586266549,0.0005140909586266549,0.0005140909586266549,
qqHH_CV_1_C2V_2_kl_1_HHbbVV,23.628855946473465,23.628855946473465,23.628855946473465,23.603086216191194,23.587709054991066,17.775755861446896,0.5256285431672405,0.38444210177940585,0.3835853886419953,0.3813842518815109,
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.10023448588249756,0.10023448588249756,0.10023448588249756,0.09991840064110012,0.0996159467238734,0.08783084704222677,0.003748153488640487,0.002633970660191304,0.0026325984739321157,0.0026325984739321157,
QCD,1126208.5372077704,1204990.9790546382,1204990.9790546382,1200602.6007629426,1197348.6443478006,1197320.5901011575,47.226245595794595,4.837103895715915,4.837103895715915,4.837103895715915,
TT,126178.01663528237,126178.01663528237,126178.01663528237,125736.76451680924,125277.36730359304,125270.65565601869,27.978574145222293,5.199313930157487,4.590971303657996,4.088104110267181,
ST,11213.018738828063,11213.018738828063,11213.018738828063,11169.638460634647,11140.701326371089,11140.216087346873,2.0718299192087892,0.49342328339902114,0.49342328339902114,0.49342328339902114,
W+Jets,15930.077126498532,15930.077126498532,15930.077126498532,15879.105249841276,15839.028146450515,15837.252812675071,6.848855464711683,2.0227549814372088,2.0227549814372088,2.0227549814372088,
Z+Jets,22772.15825578505,22772.15825578505,22772.15825578505,22686.559702053375,22632.448203335458,22631.532243401547,2.5220834811032495,1.0486777947236894,1.0486777947236894,1.0486777947236894,
Diboson,1008.665041486354,1008.665041486354,1008.665041486354,1005.7273485190779,1002.5646524206695,1002.5646524206695,0.0,0.0,0.0,0.0,
ggFHbb,223.1087799478259,223.1087799478259,223.1087799478259,222.70977922577623,221.84267517383097,221.84267517383097,0.031571511719930515,0.0,0.0,0.0,
VBFHbb,71.28205035333777,71.28205035333777,71.28205035333777,71.07985098566151,70.91620020246836,70.91620020246836,0.0,0.0,0.0,0.0,
ZHbb,67.12062616739404,67.12062616739404,67.12062616739404,66.94564806851947,66.83746928536593,66.83210447714222,0.006737574110615981,0.001692472237109429,0.001692472237109429,0.001692472237109429,
WHbb,116.35029311753367,116.35029311753367,116.35029311753367,116.05038178984395,115.9228032874135,115.91871822958542,0.023420677469734634,0.017954227728445397,0.017954227728445397,0.017954227728445397,
ggZHbb,10.311005316400479,10.311005316400479,10.311005316400479,10.281565783116413,10.257879490979624,10.25756398183547,0.001998994069992338,0.0015649664772532357,0.0015649664772532357,0.0015649664772532357,
ttHbb,354.83801865944884,354.83801865944884,354.83801865944884,353.44976648602244,352.0183047201511,352.00471234264467,0.07727703926861136,0.022012391141735154,0.019475772671463686,0.017634444211189697,
HWW,172.07437391871363,172.07437391871363,172.07437391871363,171.42603695737873,170.6479795943025,170.30271771214433,1.1563455731152492,0.3135470918615891,0.3062779699359276,0.2929142508398536,
Data,1383108.0,1383108.0,1383108.0,1383108.0,1383108.0,1383039.0,,39.0,37.0,36.0,191.0
