,Pre-selection,QCD SF,LP SF,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScoreVBF < 0.999,BDTScore_JMS_down >= 0.9965,bbFatJetParticleNetMD_Txbb >= 0.9734,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,BDTScore >= 0.9965
HHbbVV,1.706591057896172,1.706591057896172,1.706591057896172,1.7015566173379557,1.6972136772823412,1.6622831322729013,0.11549445036096245,0.07979737728546685,0.07967724261499654,0.07924579481025396,
ggHH_kl_2p45_kt_1_HHbbVV,1.3238501132828857,1.3238501132828857,1.3238501132828857,1.320268693885609,1.317661563936538,1.2864260111435208,0.08387278934744988,0.05688249306297058,0.0568148467359884,0.05656059557000251,
ggHH_kl_5_kt_1_HHbbVV,1.4540657446775804,1.4540657446775804,1.4540657446775804,1.4509117411902488,1.4474730227963224,1.4220562061977793,0.06482734488276724,0.04447304513232151,0.04442388928823647,0.04424962877568453,
ggHH_kl_0_kt_1_HHbbVV,2.1525536887480916,2.1525536887480916,2.1525536887480916,2.1452512033910387,2.140229256085729,2.0980696369206164,0.13982640895438478,0.09356988400111066,0.09342550631438472,0.0930051078837239,
VBFHHbbVV,0.03938444220488589,0.03938444220488589,0.03938444220488589,0.0392446647475824,0.0391236948975489,0.0357724273988926,0.0010547074986680977,0.0007197554540027593,0.0007157281511831943,0.0007132898662279407,
qqHH_CV_1_C2V_0_kl_1_HHbbVV,25.803125191164327,25.803125191164327,25.803125191164327,25.774035901931246,25.75627430229965,19.55114855539726,0.5830071077312686,0.4251077644530188,0.424310014459617,0.4230091062217777,
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,42.97286862414579,42.97286862414579,42.97286862414579,42.92006974864868,42.88501620424844,32.737757871645684,0.9841373000162832,0.7166705995520246,0.7152004338327757,0.7119171262297059,
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.04105557177629756,0.04105557177629756,0.04105557177629756,0.04090476204464955,0.0407915993104881,0.03895795325594884,0.0007204868213247098,0.0005103098662294,0.0005103098662294,0.0005103098662294,
qqHH_CV_1_C2V_2_kl_1_HHbbVV,23.628855946473465,23.628855946473465,23.628855946473465,23.603086216191194,23.587709054991066,17.775755861446896,0.517505009382229,0.37748329631237215,0.37662658317496156,0.3745391878952686,
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.10023448588249756,0.10023448588249756,0.10023448588249756,0.09991840064110012,0.0996159467238734,0.08783084704222677,0.0036132698700857566,0.002556469638338707,0.0025550974520795184,0.0025550974520795184,
QCD,1126208.5372077704,1204990.9790546382,1204990.9790546382,1200602.6007629426,1197348.6443478006,1197320.5901011575,45.72092934945287,4.079153202648582,4.079153202648582,4.079153202648582,
TT,126178.01663528237,126178.01663528237,126178.01663528237,125736.76451680924,125277.36730359304,125270.65565601869,29.038709683932282,5.657530145165811,5.0491875186663195,4.546320325275504,
ST,11213.018738828063,11213.018738828063,11213.018738828063,11169.638460634647,11140.701326371089,11140.216087346873,2.120020322306929,0.49342328339902114,0.49342328339902114,0.49342328339902114,
W+Jets,15930.077126498532,15930.077126498532,15930.077126498532,15879.105249841276,15839.028146450515,15837.252812675071,5.995420175798431,1.8145731338052624,1.8145731338052624,1.8145731338052624,
Z+Jets,22772.15825578505,22772.15825578505,22772.15825578505,22686.559702053375,22632.448203335458,22631.532243401547,2.814233735741356,1.0276220993910448,1.0276220993910448,1.0276220993910448,
Diboson,1008.665041486354,1008.665041486354,1008.665041486354,1005.7273485190779,1002.5646524206695,1002.5646524206695,0.0,0.0,0.0,0.0,
ggFHbb,223.1087799478259,223.1087799478259,223.1087799478259,222.70977922577623,221.84267517383097,221.84267517383097,0.031571511719930515,0.0,0.0,0.0,
VBFHbb,71.28205035333777,71.28205035333777,71.28205035333777,71.07985098566151,70.91620020246836,70.91620020246836,0.0,0.0,0.0,0.0,
ZHbb,67.12062616739404,67.12062616739404,67.12062616739404,66.94564806851947,66.83746928536593,66.83210447714222,0.006737574110615981,0.001692472237109429,0.001692472237109429,0.001692472237109429,
WHbb,116.35029311753367,116.35029311753367,116.35029311753367,116.05038178984395,115.9228032874135,115.91871822958542,0.02386035947480393,0.017954227728445397,0.017954227728445397,0.017954227728445397,
ggZHbb,10.311005316400479,10.311005316400479,10.311005316400479,10.281565783116413,10.257879490979624,10.25756398183547,0.001998994069992338,0.0015649664772532357,0.0015649664772532357,0.0015649664772532357,
ttHbb,354.83801865944884,354.83801865944884,354.83801865944884,353.44976648602244,352.0183047201511,352.00471234264467,0.07901777326292116,0.02385609388059591,0.021319475410324442,0.019478146950050453,
HWW,172.07437391871363,172.07437391871363,172.07437391871363,171.42603695737873,170.6479795943025,170.30271771214433,1.1663576611560764,0.31399575341535124,0.30672663148968976,0.2933629123936158,
Data,1383108.0,1383108.0,1383108.0,1383108.0,1383108.0,1383039.0,,39.0,37.0,36.0,191.0
