,Pre-selection,QCD SF,bbFatJetPt >= 300,VVFatJetPt >= 300,BDTScore_JMS_down >= 0.995,bbFatJetParticleNetMD_Txbb >= 0.9714,BDTScoreVBF < 0.999 or bbFatJetParticleNetMD_Txbb < 0.987,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,BDTScore >= 0.995
HHbbVV,1.676130328580837,1.676130328580837,1.6712036429905937,1.6670538167650584,0.17134808652699557,0.11928716154334279,0.10627974181109524,0.10615186193095702,0.10562545594385916,
ggHH_kl_2p45_kt_1_HHbbVV,1.264909243644536,1.264909243644536,1.2618467256927668,1.2597105355923204,0.12560667270186315,0.08693556728433255,0.07641682964344466,0.07631893566320047,0.07599821502949443,
ggHH_kl_5_kt_1_HHbbVV,1.3326632776423553,1.3326632776423553,1.3290754531862934,1.326456633520162,0.09240030897983287,0.06306213212396491,0.055757097701586586,0.055703840181222125,0.05558074130699163,
ggHH_kl_0_kt_1_HHbbVV,2.1462080925701774,2.1462080925701774,2.1397217826630057,2.134657892688486,0.21040046005377358,0.1440238025239116,0.12825071908717617,0.1280210751216131,0.12711606691383598,
VBFHHbbVV,0.034024377674540085,0.034024377674540085,0.03392488917746438,0.03385106547434957,0.002569672341623728,0.0019197294463141122,0.001126882020157983,0.0011210726612997121,0.001109602922988785,
qqHH_CV_1_C2V_0_kl_1_HHbbVV,20.76198779204722,20.76198779204722,20.740910849479715,20.727007927656505,2.6545917205239817,2.003689527241271,0.8422006977800746,0.8401951171619404,0.8363805184535977,
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,34.78860657736119,34.78860657736119,34.750944180981556,34.72689350102866,4.462363103016447,3.3848463787184855,1.4441750482525462,1.4414520714793264,1.4334158568773119,
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.03499528349928152,0.03499528349928152,0.034883938631222695,0.034828787476897716,0.0015621638854488502,0.0010800401890060786,0.0006874576466094416,0.0006873162513215946,0.0006787860449456315,
qqHH_CV_1_C2V_2_kl_1_HHbbVV,18.901746176077005,18.901746176077005,18.88325592507293,18.87195683641766,2.454781355914031,1.8597076713028338,0.7686409834609936,0.7669673515201897,0.7632384272639674,
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.08890353276162892,0.08890353276162892,0.08863948905629107,0.08838388941581067,0.009574984783781729,0.006962271573822659,0.003899711235444594,0.0038843538595327584,0.003859195165228827,
QCD,1117757.9198795073,1251971.716351885,1247814.9781850395,1244750.07933536,169.76738444868525,16.218321634976864,15.52553180100313,15.52553180100313,15.52553180100313,
TT,114729.52068857195,114729.52068857195,114375.90267312861,114019.19131760647,40.17369327215475,7.163567922361466,7.112978456565502,6.237633185858671,6.018494175133688,
ST,9991.097357360093,9991.097357360093,9956.444147193402,9930.244963807756,3.909967899670439,0.8038150546612054,0.8038150546612054,0.8038150546612054,0.8038150546612054,
W+Jets,14710.822213085146,14710.822213085146,14672.491652608198,14641.631954844934,9.588285947737996,1.9173581800685375,1.9173581800685375,1.9173581800685375,1.9173581800685375,
Z+Jets,21597.004857058182,21597.004857058182,21522.694272012075,21479.126831498128,5.753293914550152,3.011917106564023,2.9455009957941196,2.9455009957941196,2.9455009957941196,
Diboson,936.1606241609028,936.1606241609028,932.3120773317856,930.6761200627391,0.28001420954562,0.0,0.0,0.0,0.0,
ggFHbb,224.56874142701201,224.56874142701201,224.09132954605533,223.5656191986538,0.02215841641627536,0.02215841641627536,0.02215841641627536,0.02215841641627536,0.02215841641627536,
VBFHbb,66.27722451912622,66.27722451912622,66.16198883813554,66.0249915252132,0.0007622901412900761,0.0,0.0,0.0,0.0,
ZHbb,63.465766584473805,63.465766584473805,63.322797344840964,63.235634550720064,0.0172753662987251,0.009622413422120895,0.00825056306163863,0.00825056306163863,0.00825056306163863,
WHbb,108.86564442012758,108.86564442012758,108.63886528171966,108.52664862322723,0.05409536741738929,0.036257039785820476,0.03449680210338818,0.03449680210338818,0.03449680210338818,
ggZHbb,9.5080271296301,9.5080271296301,9.483212575914823,9.46312346044892,0.002061612704643602,0.001303331904699807,0.001303331904699807,0.001303331904699807,0.001303331904699807,
ttHbb,312.2634270090423,312.2634270090423,311.1744105719533,310.21793216817366,0.1368198491635376,0.05510969090103278,0.05269724711923415,0.0473108987329271,0.0473108987329271,
HWW,150.72907678953348,150.72907678953348,150.22850888691733,149.66583899443282,1.545175594838655,0.4555546090318464,0.4227505229815214,0.4171108880965346,0.4004628771544309,
Data,1414872.0,1414872.0,1414872.0,1414872.0,,76.0,74.0,72.0,70.0,359.0
