,Pre-selection,QCD SF,bbFatJetPt_JES_up >= 300,VVFatJetPt_JES_up >= 300,BDTScoreVBF >= 0.999,bbFatJetParticleNetMD_Txbb >= 0.987,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 300,VVFatJetPt >= 300
HHbbVV,1.676130328580837,1.676130328580837,1.6757548522012857,1.6755174017437258,0.028904271422584775,0.014610943746887255,0.014559796928078168,0.014559796928078168,,
ggHH_kl_2p45_kt_1_HHbbVV,1.264909243644536,1.264909243644536,1.2646782303040833,1.264572593981776,0.024746294562801162,0.01243712197240951,0.012420870561691735,0.012380575648065613,,
ggHH_kl_5_kt_1_HHbbVV,1.3326632776423553,1.3326632776423553,1.3324796079223353,1.3322927686557362,0.018170883991164417,0.008826644684433851,0.008780071889785862,0.00856083277290743,,
ggHH_kl_0_kt_1_HHbbVV,2.1462080925701774,2.1462080925701774,2.14574120877309,2.1453802117397194,0.0370103719853517,0.017763463621639615,0.01768531463716012,0.017641446457862114,,
VBFHHbbVV,0.034024377674540085,0.034024377674540085,0.03401878632576567,0.034014078043477246,0.002700381454203058,0.0014810786475581241,0.0014810786475581241,0.0014778704143123779,,
qqHH_CV_1_C2V_0_kl_1_HHbbVV,20.76198779204722,20.76198779204722,20.760097256521927,20.759327537372858,4.824915652087941,2.9256338786696747,2.9226546892317926,2.9139068535464756,,
qqHH_CV_1p5_C2V_1_kl_1_HHbbVV,34.78860657736119,34.78860657736119,34.78501103778664,34.783889362401446,7.874619354223218,4.791841952107406,4.785981093708317,4.7708346193096425,,
qqHH_CV_1_C2V_1_kl_2_HHbbVV,0.03499528349928152,0.03499528349928152,0.03499348154814317,0.034986891371333685,0.001355250190285524,0.0007199859456799204,0.0007171924318359253,0.0007148021402963764,,
qqHH_CV_1_C2V_2_kl_1_HHbbVV,18.901746176077005,18.901746176077005,18.899812612265276,18.89899725944025,4.513468774329743,2.7685210997012617,2.7654014054518283,2.756685201985381,,
qqHH_CV_1_C2V_1_kl_0_HHbbVV,0.08890353276162892,0.08890353276162892,0.08889022380899324,0.08886420846200346,0.009612227933888245,0.005319392064791039,0.005312877930133989,0.005286462636131747,,
QCD,1117757.9198795073,1251971.716351885,1251682.6046422862,1251519.0665727286,17.945008817571654,0.9479854870513743,0.9479854870513743,0.9479854870513743,,
TT,114729.52068857195,114729.52068857195,114706.15876300249,114683.14121694586,5.798795801912014,0.6058845979325174,0.6058845979325174,0.6058845979325174,,
ST,9991.097357360093,9991.097357360093,9989.024577587452,9987.966441260009,1.3270895761658708,0.0,0.0,0.0,,
W+Jets,14710.822213085146,14710.822213085146,14707.90486347219,14705.855078584122,1.3240541277111542,0.09506311296715518,0.09506311296715518,0.09506311296715518,,
Z+Jets,21597.004857058182,21597.004857058182,21592.713993914025,21589.977951000445,0.8149782493388988,0.32772047717289904,0.32772047717289904,0.32772047717289904,,
Diboson,936.1606241609028,936.1606241609028,935.6242769877188,935.6242769877188,0.0,0.0,0.0,0.0,,
ggFHbb,224.56874142701201,224.56874142701201,224.5170485658804,224.45546900141025,0.0,0.0,0.0,0.0,,
VBFHbb,66.27722451912622,66.27722451912622,66.27546093253595,66.27338743540412,0.0313406363497363,0.0,0.0,0.0,,
ZHbb,63.465766584473805,63.465766584473805,63.45579974544757,63.45287399754096,0.0013718503604822627,0.0013718503604822627,0.0013718503604822627,0.0013718503604822627,,
WHbb,108.86564442012758,108.86564442012758,108.84087638332325,108.83414264832638,0.0066932442039737625,0.0038431623322436274,0.0038431623322436274,0.0038431623322436274,,
ggZHbb,9.5080271296301,9.5080271296301,9.505625210234324,9.504521809114898,0.00024366724863733052,0.0,0.0,0.0,,
ttHbb,312.2634270090423,312.2634270090423,312.18019451465693,312.12908216023584,0.008785657593391342,0.0024124437817986334,0.0024124437817986334,0.0024124437817986334,,
HWW,150.72907678953348,150.72907678953348,150.68815304215195,150.65286062054875,0.2812771204808927,0.04679101711101491,0.04414270408692401,0.04239937920902053,,
Data,1414872.0,1414872.0,,,61.0,7.0,7.0,6.0,1414872.0,1414872.0
