,Pre-selection,TriggerEffs,QCD SF,LP SF,bbFatJetPt ≥ 300,VVFatJetPt ≥ 300,BDTScore_JMS_up ≥ 0.99,bbFatJetParticleNetMD_Txbb ≥ 0.9137,BDTScore ≥ 0.99
HHbbVV,1.226207055855298,0.962836113592311,0.962836113592311,0.962836113592311,0.9566096747942927,0.9511902193920164,0.1610731116507369,0.1448702987791458,
QCD,1025068.5251140338,758372.038498297,951838.4448337916,951838.4448337916,943552.4935079368,936701.2880493293,404.65292734182947,250.8754773135378,
TT,60216.68690936446,49536.832979442996,49536.832979442996,49536.832979442996,49221.11449574653,48889.454988424695,86.00092549754834,49.37897749866028,
ST,4318.746371851393,3575.7297900135763,3575.7297900135763,3575.7297900135763,3552.173733076492,3532.876000602921,8.044791687604533,4.702526311598859,
V+Jets,28575.038253779858,22718.400706946682,22718.400706946682,22718.400706946682,22556.427033673514,22436.939271385167,39.11822625254932,23.094558979590406,
Diboson,435.3161593699373,352.5916898055027,352.5916898055027,352.5916898055027,350.53705082453064,349.14705446532366,0.03266233593561373,0.0,
Data,1028022.0,1028022.0,1028022.0,1028022.0,1028022.0,1028022.0,,636.0,1251.0
