,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9
QCD,717986.2168149389,956785.8146709631,727880.266310517,632115.30730093,549626.1828181965,548687.0322543395,546708.0428193492
TT,63126.80979180278,63126.80979180278,52255.279739834674,44550.39301842527,40876.84376896758,36863.817758493125,33153.10405001715
ST,5417.824558008515,5417.824558008515,4415.799992477973,3892.68027836339,3598.9167643023343,3305.156398192066,2989.0265927482324
W+Jets,9487.889178263631,9487.889178263631,7781.8384871973285,6869.498962287357,6212.519484375291,6198.148449618551,6180.34089230921
Z+Jets,12055.822300436781,12055.822300436781,9646.246648678436,8533.769054681723,7681.323481188129,7664.507230589008,7629.54387457763
Diboson,544.751536187187,544.751536187187,446.78802923260866,405.5011528291471,365.8640484595544,350.4252764993191,332.467400151167
ggFHbb,120.74204174793252,120.74204174793252,99.14576945184771,84.16636207333235,73.96490471746189,73.82933980250974,73.52179580188678
VBFHbb,32.24173303425971,32.24173303425971,26.972717154643558,23.860173930266463,21.844352719648448,21.804919466382227,21.732925340789137
ZHbb,32.70020301080715,32.70020301080715,26.769847010639698,24.36607786481803,21.871099911837966,21.829990460649192,21.674598706471354
WHbb,56.014320595270185,56.014320595270185,45.585479704827875,42.13095174780474,37.93217245731578,37.860209303722364,37.65143619434756
ggZHbb,4.8805631912185055,4.8805631912185055,4.003348911376493,3.5368165520777906,3.2407641335023025,3.232676682677484,3.2055813729539335
ttHbb,156.9411921655786,156.9411921655786,132.4255089511894,114.06437228003733,107.72363022103359,95.44696437773304,82.98100159356137
HWW,80.56791059341468,80.56791059341468,68.07356028523593,57.20524247305335,53.644149864781234,45.08587487867844,37.97432222407217
Data,1047903.0,1047903.0,786824.0,657428.0,558947.0,552841.0,546034.0
