,Pre-selection,QCD SF,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400,110 ≤ bbFatJetParticleNetMass_JMS_down < 145,bbFatJetParticleNetMD_Txbb >= 0.9883,VVFatJetParTMD_THWWvsT >= 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,110 ≤ bbFatJetParticleNetMass < 145
QCD,717986.2168149389,956785.8146709631,727880.266310517,632115.30730093,549626.1828181965,121409.62939665302,10032.578381085763,381.2640324364068,381.2640324364068,381.2640324364068,
TT,63126.80979180278,63126.80979180278,52255.279739834674,44550.39301842527,40876.84376896758,9587.75262322649,641.8772401060174,26.756154884622585,23.42657823587102,22.784977665925666,
ST,5417.824558008515,5417.824558008515,4415.799992477973,3892.68027836339,3598.9167643023343,837.6011621604182,66.59489376810794,3.2945136261684485,3.0380150988660857,2.900795237482182,
W+Jets,9487.889178263631,9487.889178263631,7781.8384871973285,6869.498962287357,6212.519484375291,900.3496102553597,56.69116339459059,4.744310810748418,4.744310810748418,4.744310810748418,
Z+Jets,12055.822300436781,12055.822300436781,9646.246648678436,8533.769054681723,7681.323481188129,1369.308977098015,243.4298557113496,8.276620941120338,8.276620941120338,8.276620941120338,
Diboson,544.751536187187,544.751536187187,446.78802923260866,405.5011528291471,365.8640484595544,41.46785568018681,8.399304631466526,0.0817828490005958,0.0817828490005958,0.0817828490005958,
ggFHbb,120.74204174793252,120.74204174793252,99.14576945184771,84.16636207333235,73.96490471746189,53.375661788959874,27.978635961254884,0.7566098625968669,0.7566098625968669,0.7566098625968669,
VBFHbb,32.24173303425971,32.24173303425971,26.972717154643558,23.860173930266463,21.844352719648448,16.106465268437507,8.966957429936427,0.1966750232929772,0.1966750232929772,0.1966750232929772,
ZHbb,32.70020301080715,32.70020301080715,26.769847010639698,24.36607786481803,21.871099911837966,13.811469215953291,7.220735056175135,0.3914018087526544,0.3914018087526544,0.3914018087526544,
WHbb,56.014320595270185,56.014320595270185,45.585479704827875,42.13095174780474,37.93217245731578,26.604527780435436,13.642809632973986,1.0006853197157877,0.9994012111325993,0.9933630546685727,
ggZHbb,4.8805631912185055,4.8805631912185055,4.003348911376493,3.5368165520777906,3.2407641335023025,1.6576422738652306,0.7698979977170956,0.03015861831556638,0.03015861831556638,0.029633760966601967,
ttHbb,156.9411921655786,156.9411921655786,132.4255089511894,114.06437228003733,107.72363022103359,35.91858782819024,11.47172764444902,0.48831060094517403,0.4626113826121484,0.4100871196079346,
HWW,80.56791059341468,80.56791059341468,68.07356028523593,57.20524247305335,53.644149864781234,12.172515233505758,0.8157520193977901,0.12729424988322643,0.1235135523584599,0.11812424257753618,
Data,1047903.0,1047903.0,786824.0,657428.0,558947.0,,8329.0,369.0,366.0,361.0,121852.0
