,Pre-selection,QCD SF,bbFatJetPt_JER_down >= 350,VVFatJetPt_JER_down >= 350,bbFatJetPt_JER_down >= 400 or VVFatJetPt_JER_down >= 400,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
QCD,717986.2168149389,956785.8146709631,726861.2686689944,631733.68895987,548486.0254915995,547527.8608957476,545548.8714607572,,,
TT,63126.80979180278,63126.80979180278,52180.64882571194,44474.013556633756,40779.74481033034,36786.257962422926,33090.52281828572,,,
ST,5417.824558008515,5417.824558008515,4410.108840782719,3887.2354206342284,3588.726731660046,3295.6159889587652,2980.905806388971,,,
W+Jets,9487.889178263631,9487.889178263631,7766.534060225604,6861.006997181592,6200.111084590705,6185.7400498339675,6167.976680999034,,,
Z+Jets,12055.822300436781,12055.822300436781,9632.876880406508,8529.350203837557,7669.377366625927,7652.560749565124,7618.038789913823,,,
Diboson,544.751536187187,544.751536187187,446.7012941571987,405.6090965809698,365.4378053457647,350.1822040097781,332.22432766162603,,,
ggFHbb,120.74204174793252,120.74204174793252,99.01628386370527,84.05390007921997,73.97794031096234,73.84237539601021,73.53483139538724,,,
VBFHbb,32.24173303425971,32.24173303425971,26.91193918763821,23.83256642772014,21.833140058460792,21.793706805194567,21.708441993310547,,,
ZHbb,32.70020301080715,32.70020301080715,26.726592651811874,24.344331060276595,21.82289402707317,21.781784575884394,21.62801902078354,,,
WHbb,56.014320595270185,56.014320595270185,45.540006597014084,42.10793858660798,37.8562894671351,37.78493111702679,37.576158007651976,,,
ggZHbb,4.8805631912185055,4.8805631912185055,3.999470476936972,3.535557587649001,3.2344200398911394,3.2263325890663217,3.199700448224182,,,
ttHbb,156.9411921655786,156.9411921655786,132.3045815648638,113.85802878364558,107.51272262887578,95.27713451527927,82.84074892812254,,,
HWW,80.56791059341468,80.56791059341468,68.00471856066271,57.11598631015099,53.521453867681764,44.98449325889919,37.892639831628436,,,
Data,1047903.0,1047903.0,,,,552841.0,546034.0,786824.0,657428.0,558947.0
