,Pre-selection,QCD SF,bbFatJetPt_JES_down >= 350,VVFatJetPt_JES_down >= 350,bbFatJetPt_JES_down >= 400 or VVFatJetPt_JES_down >= 400,92.5 ≤ bbFatJetParticleNetMass < 110 or 145 ≤ bbFatJetParticleNetMass < 162.5,0.8 ≤ bbFatJetParticleNetMD_Txbb < 0.9883,VVFatJetParTMD_THWWvsT < 0.6,0 ≤ nGoodElectronsHbb < 0.9,0 ≤ nGoodMuonsHbb < 0.9,bbFatJetPt >= 350,VVFatJetPt >= 350,bbFatJetPt >= 400 or VVFatJetPt >= 400
QCD,717986.2168149389,956785.8146709631,714183.7122934387,615968.1702424847,534236.9358198404,118583.17553382943,109491.10907589257,106685.87799732827,106565.63052933279,106088.53920984529,,,
TT,63126.80979180278,63126.80979180278,51552.40658402823,43559.983542841306,39844.97146424679,9109.486340953863,8511.701322014691,8123.558583820309,7140.524269318672,6442.766097135315,,,
ST,5417.824558008515,5417.824558008515,4361.068752752759,3819.871731622292,3521.855697590972,809.8125713576343,753.1657388963275,715.4159049693936,656.3537648825888,598.3560234109854,,,
W+Jets,9487.889178263631,9487.889178263631,7663.693473168243,6730.642393715154,6069.305766287863,1326.4405980227125,1232.0060031936318,1169.02634219924,1165.9549490436884,1162.2797827485756,,,
Z+Jets,12055.822300436781,12055.822300436781,9496.976194397968,8352.866691231726,7497.505824419099,3048.9702457143258,2029.691378895693,1961.1826599233077,1957.0994826251126,1947.6748364738573,,,
Diboson,544.751536187187,544.751536187187,440.36621517608273,397.1988602913971,356.2708525687135,121.91709132558209,79.13446760892708,75.771089556395,71.76548377326407,68.82421800024066,,,
ggFHbb,120.74204174793252,120.74204174793252,97.39743646948253,82.01494622632748,71.89749297075578,14.46379826922668,9.05776358854111,8.950114244141144,8.93562246747743,8.852436236343973,,,
VBFHbb,32.24173303425971,32.24173303425971,26.59309169750412,23.388254219990884,21.445052520144394,4.069518648317816,2.235052210023791,2.194309714951334,2.185657637008688,2.1797803711134742,,,
ZHbb,32.70020301080715,32.70020301080715,26.319653747722505,23.831891324818347,21.340808960221036,5.007828113019587,2.4676717031594615,2.3598671518598473,2.354124925935853,2.3217704487766353,,,
WHbb,56.014320595270185,56.014320595270185,44.859328399588755,41.31579435840018,37.07425829551195,7.068813851698291,4.116627708556212,3.86985161224816,3.8642757865909507,3.8370597271304665,,,
ggZHbb,4.8805631912185055,4.8805631912185055,3.9494503683419864,3.4627537223512252,3.1662752209215874,0.7728137249876627,0.47671647598766914,0.46154923006935816,0.45967719045346184,0.4541837381786847,,,
ttHbb,156.9411921655786,156.9411921655786,130.92692083412456,111.777819996592,105.38411473235499,22.36893687440273,18.397706385154102,17.656459886396075,15.40711533086578,13.560933722495541,,,
HWW,80.56791059341468,80.56791059341468,67.37046338332074,56.03193342889442,52.46517561431856,11.747888076233199,10.615755086617709,9.26600686294245,7.449911060358648,6.2408146062262215,,,
Data,1047903.0,1047903.0,,,,123461.0,114757.0,109564.0,108079.0,106711.0,786824.0,657428.0,558947.0
